Timestamp,What is your department does your major fall under?,What year are you?,What music genre do you listen to the most?,What is your living situation?,What type of humor do you have?,What are the top 3  qualities you look for in a friend?,What are the top 3 qualities you see in yourself?,Do you watch sports or play sports?,How would you describe your typical Friday night?,Describe your school/life balance?,What is your favorite tv show/movie genre do you prefer?
1/27/2021 14:47:03,Engineering (if you're computer science choose this),Sophomore,Rap,Off-Campus,Dark-Humor,"Trustworthy, Supportive, Humour","Fairness, Understanding, Humour",Yes,Watching Netflix,5-8 hours of school and/or work a day,Comedy
1/27/2021 14:51:19,Engineering (if you're computer science choose this),Sophomore,Blues,Off-Campus,Dark-Humor,"Ambition, Kindness, Supportive","Ambition, Understanding, Social Intelligence",Yes,Watching Netflix,5-8 hours of school and/or work a day,Anime/Cartoon
1/27/2021 15:48:40,Engineering (if you're computer science choose this),Sophomore,Jazz,Off-Campus,Dark-Humor,"Understanding, Humour, Loyalty","Understanding, Humour, Loyalty",No,Studying,8+ hours of school and/or work a day,Anime/Cartoon
1/27/2021 17:10:26,Engineering (if you're computer science choose this),Sophomore,Pop,Off-Campus,Situational,"Trustworthy, Supportive, Humour","Ambition, Kindness, Humour",No,Studying,5-8 hours of school and/or work a day,Sci-Fi
1/27/2021 17:10:31,Engineering (if you're computer science choose this),Sophomore,Pop,Off-Campus,Situational,"Trustworthy, Supportive, Humour","Ambition, Kindness, Humour",No,Studying,5-8 hours of school and/or work a day,Sci-Fi
1/27/2021 17:10:38,Engineering (if you're computer science choose this),Sophomore,Pop,Off-Campus,Situational,"Trustworthy, Supportive, Humour","Ambition, Kindness, Humour",No,Studying,5-8 hours of school and/or work a day,Sci-Fi
1/27/2021 18:09:09,Sciences,Sophomore,Rock,Off-Campus,Situational,"Trustworthy, Supportive, Loyalty","Fairness, Kindness, Loyalty",Yes,Studying,5-8 hours of school and/or work a day,Anime/Cartoon
1/27/2021 23:13:28,Sciences,Junior,"International Music(KPOP, Bollywood, etc.)",Off-Campus,Dad-Joke Humor,"Trustworthy, Humour, Loyalty","Trustworthy, Humour, Loyalty",No,Watching Netflix,5-8 hours of school and/or work a day,Anime/Cartoon
1/28/2021 6:10:34,Engineering (if you're computer science choose this),Junior,Pop,Off-Campus,Situational,"Trustworthy, Kindness, Humour","Trustworthy, Humour, Loyalty",No,At a party/With Friends,<5 hours of school and/or work a day,Comedy
1/28/2021 16:06:59,Engineering (if you're computer science choose this),Senior,EDM,Off-Campus,Dark-Humor,"Kindness, Understanding, Loyalty","Kindness, Understanding, Supportive",Yes,At a party/With Friends,5-8 hours of school and/or work a day,Anime/Cartoon
1/28/2021 16:10:38,Sciences,Sophomore,Pop,Off-Campus,Situational,"Understanding, Social Intelligence, Humour","Ambition, Fairness, Humour",No,At a party/With Friends,5-8 hours of school and/or work a day,Drama/K-Drama
1/31/2021 21:02:47,Engineering (if you're computer science choose this),Freshman,I don’t listen to music,Off-Campus,Situational,"Fairness, Trustworthy, Kindness, Social Intelligence, Loyalty","Ambition, Fairness, Trustworthy, Kindness, Understanding, Supportive, Leadership, Social Intelligence, Humour, Loyalty",Yes,Working,8+ hours of school and/or work a day,Documentary
1/31/2021 22:35:15,Engineering (if you're computer science choose this),Junior,Pop,On-Campus,Dad-Joke Humor,"Trustworthy, Understanding, Social Intelligence","Ambition, Supportive, Social Intelligence",No,At a party/With Friends,5-8 hours of school and/or work a day,Anime/Cartoon
1/31/2021 22:37:22,Engineering (if you're computer science choose this),Sophomore,Pop,Off-Campus,Stand-Up,"Trustworthy, Supportive, Humour","Fairness, Understanding, Humour",No,Watching Netflix,5-8 hours of school and/or work a day,Drama/K-Drama
