,Bios,Year,Major_Dept,Ambition,Goals,Music,Sports,Friday_Nights,School_balance,Movie_Genres,Social_Style,Transfer
16,Communicator. Zombie expert. Alcohol trailblazer. Professional introvert. Organizer.,2,2,3,2,1,10,2,1,6,2,2
17,Food geek. Creator. Wannabe alcohol practitioner. Evil twitter expert. Unapologetic thinker. Lifelong troublemaker.,2,2,1,1,6,5,2,2,11,3,2
18,Thinker. Lifelong zombie aficionado. Travel specialist. Total writer. Typical music junkie. Freelance organizer. Incurable tv advocate.,4,1,1,1,5,3,2,2,10,3,2
19,Tv junkie. Reader. Zombie practitioner. Food enthusiast. Internet specialist. Wannabe communicator.,1,1,1,2,5,9,2,1,7,3,1
20,Explorer. Professional gamer. Typical travel junkie. Web lover. Introvert. Twitter scholar. Friend of animals everywhere.,2,2,1,2,10,1,2,3,6,1,1
21,Friendly reader. Problem solver. Unapologetic introvert. Organizer. Passionate food junkie. Travel trailblazer.,2,2,1,1,1,8,2,3,3,2,1
22,Hipster-friendly zombie junkie. Devoted reader. Total twitter fan. General troublemaker. Social media advocate.,2,8,3,1,1,8,2,1,10,2,1
23,Writer. Subtly charming coffee geek. Friend of animals everywhere. Problem solver. Certified zombie maven. General bacon fanatic. Thinker. Food evangelist.,4,3,3,2,9,3,1,1,9,1,1
24,Beer fan. Passionate web scholar. Future teen idol. Food geek. Avid zombie fanatic. Problem solver. Reader.,2,7,1,2,9,4,1,1,4,1,1
25,Lifelong pop culture trailblazer. Friendly coffee advocate. Amateur introvert. Social media enthusiast. Twitter maven.,4,2,2,2,1,2,1,3,9,3,2
26,Food ninja. Typical tv aficionado. Organizer. Pop culture practitioner. Music nerd. Entrepreneur.,1,7,1,2,5,8,2,3,10,3,1
27,Professional alcohol expert. Future teen idol. Total communicator. General social media scholar.,4,6,3,2,2,5,2,2,3,2,2
28,Food specialist. Typical tv evangelist. Hardcore pop culture advocate. Music expert.,4,5,2,1,4,6,2,2,1,3,2
29,Incurable food trailblazer. Infuriatingly humble internet scholar. Evil twitter lover. Lifelong pop culture guru. Tv ninja.,2,8,3,2,9,6,1,1,2,3,2
30,Infuriatingly humble internet practitioner. Creator. Thinker. Incurable pop culture specialist. Tv fanatic. Student.,2,5,2,1,6,1,1,2,2,3,1
31,Communicator. Zombie expert. Alcohol trailblazer. Professional introvert. Organizer.,3,1,2,1,7,9,1,1,2,1,2
32,Food geek. Creator. Wannabe alcohol practitioner. Evil twitter expert. Unapologetic thinker. Lifelong troublemaker.,2,5,3,2,4,1,1,2,7,1,1
33,Thinker. Lifelong zombie aficionado. Travel specialist. Total writer. Typical music junkie. Freelance organizer. Incurable tv advocate.,4,6,2,1,9,10,1,2,7,3,1
34,Tv junkie. Reader. Zombie practitioner. Food enthusiast. Internet specialist. Wannabe communicator.,1,4,3,2,1,9,2,3,7,1,2
35,Explorer. Professional gamer. Typical travel junkie. Web lover. Introvert. Twitter scholar. Friend of animals everywhere.,4,2,3,2,8,9,2,1,10,3,1
36,Friendly reader. Problem solver. Unapologetic introvert. Organizer. Passionate food junkie. Travel trailblazer.,1,3,3,2,1,2,2,3,4,1,2
37,Hipster-friendly zombie junkie. Devoted reader. Total twitter fan. General troublemaker. Social media advocate.,3,8,1,2,1,8,1,2,2,1,1
38,Writer. Subtly charming coffee geek. Friend of animals everywhere. Problem solver. Certified zombie maven. General bacon fanatic. Thinker. Food evangelist.,2,4,1,1,4,8,2,3,1,1,2
39,Beer fan. Passionate web scholar. Future teen idol. Food geek. Avid zombie fanatic. Problem solver. Reader.,2,5,1,2,6,1,1,2,8,3,1
40,Lifelong pop culture trailblazer. Friendly coffee advocate. Amateur introvert. Social media enthusiast. Twitter maven.,3,3,1,1,4,1,2,1,9,2,2
41,Food ninja. Typical tv aficionado. Organizer. Pop culture practitioner. Music nerd. Entrepreneur.,4,6,2,1,4,3,1,2,11,3,1
42,Professional alcohol expert. Future teen idol. Total communicator. General social media scholar.,2,1,2,1,3,6,2,2,6,1,2
43,Food specialist. Typical tv evangelist. Hardcore pop culture advocate. Music expert.,4,8,3,1,2,10,2,3,10,1,2
44,Incurable food trailblazer. Infuriatingly humble internet scholar. Evil twitter lover. Lifelong pop culture guru. Tv ninja.,3,8,2,1,8,5,2,3,5,2,1
45,Infuriatingly humble internet practitioner. Creator. Thinker. Incurable pop culture specialist. Tv fanatic. Student.,2,2,1,2,5,10,2,2,2,2,2
46,Communicator. Zombie expert. Alcohol trailblazer. Professional introvert. Organizer.,1,2,3,2,2,5,1,1,4,3,2
47,Food geek. Creator. Wannabe alcohol practitioner. Evil twitter expert. Unapologetic thinker. Lifelong troublemaker.,2,5,2,1,3,10,2,1,4,2,2
48,Thinker. Lifelong zombie aficionado. Travel specialist. Total writer. Typical music junkie. Freelance organizer. Incurable tv advocate.,1,5,1,2,10,6,1,3,6,2,1
49,Tv junkie. Reader. Zombie practitioner. Food enthusiast. Internet specialist. Wannabe communicator.,1,7,2,2,1,2,2,1,1,1,1
50,Explorer. Professional gamer. Typical travel junkie. Web lover. Introvert. Twitter scholar. Friend of animals everywhere.,4,4,3,2,5,1,1,1,9,1,2
51,Friendly reader. Problem solver. Unapologetic introvert. Organizer. Passionate food junkie. Travel trailblazer.,1,1,3,1,1,2,2,3,4,3,2
52,Hipster-friendly zombie junkie. Devoted reader. Total twitter fan. General troublemaker. Social media advocate.,3,5,2,2,10,3,2,2,7,2,1
53,Writer. Subtly charming coffee geek. Friend of animals everywhere. Problem solver. Certified zombie maven. General bacon fanatic. Thinker. Food evangelist.,3,8,3,2,8,9,2,3,7,1,1
54,Beer fan. Passionate web scholar. Future teen idol. Food geek. Avid zombie fanatic. Problem solver. Reader.,1,4,2,1,9,7,1,3,7,2,2
55,Lifelong pop culture trailblazer. Friendly coffee advocate. Amateur introvert. Social media enthusiast. Twitter maven.,2,6,3,1,10,1,2,1,8,3,1
56,Food ninja. Typical tv aficionado. Organizer. Pop culture practitioner. Music nerd. Entrepreneur.,1,7,2,2,1,5,2,1,11,1,1
57,Professional alcohol expert. Future teen idol. Total communicator. General social media scholar.,3,7,1,1,7,6,2,2,1,2,2
58,Food specialist. Typical tv evangelist. Hardcore pop culture advocate. Music expert.,1,4,3,1,2,2,1,3,11,1,2
59,Incurable food trailblazer. Infuriatingly humble internet scholar. Evil twitter lover. Lifelong pop culture guru. Tv ninja.,3,3,2,1,3,5,1,2,8,2,1
60,Infuriatingly humble internet practitioner. Creator. Thinker. Incurable pop culture specialist. Tv fanatic. Student.,3,6,3,1,4,9,2,2,2,1,2
61,Communicator. Zombie expert. Alcohol trailblazer. Professional introvert. Organizer.,2,6,2,1,7,8,1,2,3,3,2
62,Food geek. Creator. Wannabe alcohol practitioner. Evil twitter expert. Unapologetic thinker. Lifelong troublemaker.,1,4,2,2,8,2,2,3,1,1,2
63,Thinker. Lifelong zombie aficionado. Travel specialist. Total writer. Typical music junkie. Freelance organizer. Incurable tv advocate.,4,1,2,2,1,7,1,1,8,1,1
64,Tv junkie. Reader. Zombie practitioner. Food enthusiast. Internet specialist. Wannabe communicator.,2,7,1,1,7,8,2,1,8,1,2
65,Explorer. Professional gamer. Typical travel junkie. Web lover. Introvert. Twitter scholar. Friend of animals everywhere.,1,1,1,2,2,10,1,2,5,3,1
66,Friendly reader. Problem solver. Unapologetic introvert. Organizer. Passionate food junkie. Travel trailblazer.,3,8,2,1,10,5,1,2,9,1,2
67,Hipster-friendly zombie junkie. Devoted reader. Total twitter fan. General troublemaker. Social media advocate.,3,4,2,1,9,1,1,3,6,2,1
68,Writer. Subtly charming coffee geek. Friend of animals everywhere. Problem solver. Certified zombie maven. General bacon fanatic. Thinker. Food evangelist.,3,7,3,2,1,4,1,1,9,1,1
69,Beer fan. Passionate web scholar. Future teen idol. Food geek. Avid zombie fanatic. Problem solver. Reader.,2,1,2,2,9,2,1,3,11,1,2
70,Lifelong pop culture trailblazer. Friendly coffee advocate. Amateur introvert. Social media enthusiast. Twitter maven.,3,8,1,2,3,6,1,1,2,2,2
71,Food ninja. Typical tv aficionado. Organizer. Pop culture practitioner. Music nerd. Entrepreneur.,1,5,1,2,5,4,2,3,5,3,2
72,Professional alcohol expert. Future teen idol. Total communicator. General social media scholar.,1,1,2,2,1,3,1,3,10,2,1
73,Food specialist. Typical tv evangelist. Hardcore pop culture advocate. Music expert.,2,8,1,1,4,5,1,3,7,2,1
74,Incurable food trailblazer. Infuriatingly humble internet scholar. Evil twitter lover. Lifelong pop culture guru. Tv ninja.,1,1,1,2,4,2,1,1,11,3,2
75,Infuriatingly humble internet practitioner. Creator. Thinker. Incurable pop culture specialist. Tv fanatic. Student.,3,1,1,2,3,3,2,1,7,3,1
76,Communicator. Zombie expert. Alcohol trailblazer. Professional introvert. Organizer.,1,2,3,1,4,9,1,2,5,1,1
77,Food geek. Creator. Wannabe alcohol practitioner. Evil twitter expert. Unapologetic thinker. Lifelong troublemaker.,2,4,1,1,7,2,1,3,1,2,2
78,Thinker. Lifelong zombie aficionado. Travel specialist. Total writer. Typical music junkie. Freelance organizer. Incurable tv advocate.,1,4,2,1,4,10,1,3,4,3,2
79,Tv junkie. Reader. Zombie practitioner. Food enthusiast. Internet specialist. Wannabe communicator.,3,8,3,1,4,10,1,2,10,1,2
80,Explorer. Professional gamer. Typical travel junkie. Web lover. Introvert. Twitter scholar. Friend of animals everywhere.,4,6,2,1,2,3,2,2,6,2,1
81,Friendly reader. Problem solver. Unapologetic introvert. Organizer. Passionate food junkie. Travel trailblazer.,4,2,2,1,10,8,1,2,2,2,1
82,Hipster-friendly zombie junkie. Devoted reader. Total twitter fan. General troublemaker. Social media advocate.,2,4,1,1,9,1,1,1,7,1,1
83,Writer. Subtly charming coffee geek. Friend of animals everywhere. Problem solver. Certified zombie maven. General bacon fanatic. Thinker. Food evangelist.,4,1,1,2,10,7,1,2,10,2,2
84,Beer fan. Passionate web scholar. Future teen idol. Food geek. Avid zombie fanatic. Problem solver. Reader.,2,8,2,1,5,1,1,3,11,3,1
85,Lifelong pop culture trailblazer. Friendly coffee advocate. Amateur introvert. Social media enthusiast. Twitter maven.,1,5,1,2,10,3,2,2,7,3,1
86,Food ninja. Typical tv aficionado. Organizer. Pop culture practitioner. Music nerd. Entrepreneur.,1,8,3,1,1,3,1,2,6,2,1
87,Professional alcohol expert. Future teen idol. Total communicator. General social media scholar.,3,2,2,2,2,9,1,2,10,2,1
88,Food specialist. Typical tv evangelist. Hardcore pop culture advocate. Music expert.,2,2,2,1,3,10,2,1,8,3,2
89,Incurable food trailblazer. Infuriatingly humble internet scholar. Evil twitter lover. Lifelong pop culture guru. Tv ninja.,1,1,2,2,3,4,2,1,9,1,1
90,Infuriatingly humble internet practitioner. Creator. Thinker. Incurable pop culture specialist. Tv fanatic. Student.,3,5,2,2,5,1,1,1,4,3,2
91,Communicator. Zombie expert. Alcohol trailblazer. Professional introvert. Organizer.,1,4,2,2,3,1,1,2,11,2,2
92,Food geek. Creator. Wannabe alcohol practitioner. Evil twitter expert. Unapologetic thinker. Lifelong troublemaker.,4,8,3,1,9,3,2,2,4,1,1
93,Thinker. Lifelong zombie aficionado. Travel specialist. Total writer. Typical music junkie. Freelance organizer. Incurable tv advocate.,2,6,3,1,9,4,1,1,1,3,2
94,Tv junkie. Reader. Zombie practitioner. Food enthusiast. Internet specialist. Wannabe communicator.,1,8,3,1,5,2,2,1,1,1,1
95,Explorer. Professional gamer. Typical travel junkie. Web lover. Introvert. Twitter scholar. Friend of animals everywhere.,1,5,1,1,4,6,2,2,2,3,1
96,Friendly reader. Problem solver. Unapologetic introvert. Organizer. Passionate food junkie. Travel trailblazer.,1,2,1,1,6,4,1,2,5,2,2
97,Hipster-friendly zombie junkie. Devoted reader. Total twitter fan. General troublemaker. Social media advocate.,2,5,2,2,3,9,1,1,8,2,1
98,Writer. Subtly charming coffee geek. Friend of animals everywhere. Problem solver. Certified zombie maven. General bacon fanatic. Thinker. Food evangelist.,2,6,3,1,9,7,2,3,8,3,1
99,Beer fan. Passionate web scholar. Future teen idol. Food geek. Avid zombie fanatic. Problem solver. Reader.,1,3,2,2,5,5,2,1,8,1,2
100,Lifelong pop culture trailblazer. Friendly coffee advocate. Amateur introvert. Social media enthusiast. Twitter maven.,2,2,3,1,9,4,1,2,3,2,2
101,Food ninja. Typical tv aficionado. Organizer. Pop culture practitioner. Music nerd. Entrepreneur.,3,7,2,2,1,6,1,2,7,2,2
102,Professional alcohol expert. Future teen idol. Total communicator. General social media scholar.,2,3,3,2,7,5,1,3,3,1,2
103,Food specialist. Typical tv evangelist. Hardcore pop culture advocate. Music expert.,3,1,3,1,3,4,2,2,4,3,1
104,Incurable food trailblazer. Infuriatingly humble internet scholar. Evil twitter lover. Lifelong pop culture guru. Tv ninja.,3,3,3,2,9,1,2,3,8,3,2
105,Infuriatingly humble internet practitioner. Creator. Thinker. Incurable pop culture specialist. Tv fanatic. Student.,2,1,2,2,10,2,1,3,2,1,1
106,Communicator. Zombie expert. Alcohol trailblazer. Professional introvert. Organizer.,3,4,3,1,1,5,2,1,5,3,1
107,Food geek. Creator. Wannabe alcohol practitioner. Evil twitter expert. Unapologetic thinker. Lifelong troublemaker.,3,2,3,2,4,5,2,2,5,2,2
108,Thinker. Lifelong zombie aficionado. Travel specialist. Total writer. Typical music junkie. Freelance organizer. Incurable tv advocate.,4,8,2,1,4,9,2,2,7,1,2
109,Tv junkie. Reader. Zombie practitioner. Food enthusiast. Internet specialist. Wannabe communicator.,2,5,1,2,8,6,2,1,2,2,1
110,Explorer. Professional gamer. Typical travel junkie. Web lover. Introvert. Twitter scholar. Friend of animals everywhere.,3,1,3,1,4,3,2,1,8,1,2
111,Friendly reader. Problem solver. Unapologetic introvert. Organizer. Passionate food junkie. Travel trailblazer.,4,8,1,2,8,4,2,1,2,2,2
112,Hipster-friendly zombie junkie. Devoted reader. Total twitter fan. General troublemaker. Social media advocate.,1,1,2,1,1,1,1,1,2,1,1
113,Writer. Subtly charming coffee geek. Friend of animals everywhere. Problem solver. Certified zombie maven. General bacon fanatic. Thinker. Food evangelist.,2,2,2,1,1,1,2,3,2,2,1
114,Beer fan. Passionate web scholar. Future teen idol. Food geek. Avid zombie fanatic. Problem solver. Reader.,1,5,3,1,8,4,2,2,2,1,2
115,Lifelong pop culture trailblazer. Friendly coffee advocate. Amateur introvert. Social media enthusiast. Twitter maven.,3,2,2,1,3,1,2,2,8,3,2
116,Food ninja. Typical tv aficionado. Organizer. Pop culture practitioner. Music nerd. Entrepreneur.,1,6,3,1,5,2,2,2,1,1,1
117,Professional alcohol expert. Future teen idol. Total communicator. General social media scholar.,1,2,2,2,5,4,1,1,3,3,2
118,Food specialist. Typical tv evangelist. Hardcore pop culture advocate. Music expert.,2,5,2,1,9,4,2,2,8,1,2
119,Incurable food trailblazer. Infuriatingly humble internet scholar. Evil twitter lover. Lifelong pop culture guru. Tv ninja.,4,3,3,2,8,1,2,1,11,2,2
120,Infuriatingly humble internet practitioner. Creator. Thinker. Incurable pop culture specialist. Tv fanatic. Student.,1,3,1,1,1,2,1,2,2,1,1
121,Communicator. Zombie expert. Alcohol trailblazer. Professional introvert. Organizer.,1,3,1,2,10,1,1,3,8,1,1
122,Food geek. Creator. Wannabe alcohol practitioner. Evil twitter expert. Unapologetic thinker. Lifelong troublemaker.,2,7,2,1,9,1,2,1,7,3,1
123,Thinker. Lifelong zombie aficionado. Travel specialist. Total writer. Typical music junkie. Freelance organizer. Incurable tv advocate.,1,2,2,1,1,3,2,2,4,2,2
124,Tv junkie. Reader. Zombie practitioner. Food enthusiast. Internet specialist. Wannabe communicator.,1,6,1,2,9,4,2,1,2,3,2
125,Explorer. Professional gamer. Typical travel junkie. Web lover. Introvert. Twitter scholar. Friend of animals everywhere.,1,1,1,2,3,10,1,2,2,2,2
126,Friendly reader. Problem solver. Unapologetic introvert. Organizer. Passionate food junkie. Travel trailblazer.,4,4,1,2,7,1,1,2,5,1,1
127,Hipster-friendly zombie junkie. Devoted reader. Total twitter fan. General troublemaker. Social media advocate.,4,5,1,1,10,4,1,3,8,3,2
128,Writer. Subtly charming coffee geek. Friend of animals everywhere. Problem solver. Certified zombie maven. General bacon fanatic. Thinker. Food evangelist.,3,2,3,1,7,7,2,1,6,1,2
129,Beer fan. Passionate web scholar. Future teen idol. Food geek. Avid zombie fanatic. Problem solver. Reader.,4,1,2,1,6,3,1,1,9,2,1
130,Lifelong pop culture trailblazer. Friendly coffee advocate. Amateur introvert. Social media enthusiast. Twitter maven.,2,7,3,2,8,3,2,3,6,3,2
131,Food ninja. Typical tv aficionado. Organizer. Pop culture practitioner. Music nerd. Entrepreneur.,2,2,1,2,10,8,1,2,11,2,1
132,Professional alcohol expert. Future teen idol. Total communicator. General social media scholar.,4,8,1,2,6,10,1,2,10,3,2
133,Food specialist. Typical tv evangelist. Hardcore pop culture advocate. Music expert.,3,4,1,2,10,7,1,3,7,1,1
134,Incurable food trailblazer. Infuriatingly humble internet scholar. Evil twitter lover. Lifelong pop culture guru. Tv ninja.,1,6,3,1,4,6,1,2,10,3,1
135,Infuriatingly humble internet practitioner. Creator. Thinker. Incurable pop culture specialist. Tv fanatic. Student.,2,5,2,1,5,3,1,3,3,3,2
136,Communicator. Zombie expert. Alcohol trailblazer. Professional introvert. Organizer.,4,6,3,2,7,2,2,2,6,2,2
137,Food geek. Creator. Wannabe alcohol practitioner. Evil twitter expert. Unapologetic thinker. Lifelong troublemaker.,2,3,3,1,4,7,1,2,9,3,2
138,Thinker. Lifelong zombie aficionado. Travel specialist. Total writer. Typical music junkie. Freelance organizer. Incurable tv advocate.,3,6,3,2,6,9,2,3,4,1,2
139,Tv junkie. Reader. Zombie practitioner. Food enthusiast. Internet specialist. Wannabe communicator.,1,1,1,1,5,7,1,3,5,1,2
140,Explorer. Professional gamer. Typical travel junkie. Web lover. Introvert. Twitter scholar. Friend of animals everywhere.,1,4,1,1,9,3,1,1,4,1,2
141,Friendly reader. Problem solver. Unapologetic introvert. Organizer. Passionate food junkie. Travel trailblazer.,2,3,3,1,8,10,2,2,8,3,1
142,Hipster-friendly zombie junkie. Devoted reader. Total twitter fan. General troublemaker. Social media advocate.,3,5,3,2,10,8,2,1,9,2,2
143,Writer. Subtly charming coffee geek. Friend of animals everywhere. Problem solver. Certified zombie maven. General bacon fanatic. Thinker. Food evangelist.,2,1,2,1,5,10,2,2,5,3,1
144,Beer fan. Passionate web scholar. Future teen idol. Food geek. Avid zombie fanatic. Problem solver. Reader.,4,2,2,1,2,1,1,1,10,2,2
145,Lifelong pop culture trailblazer. Friendly coffee advocate. Amateur introvert. Social media enthusiast. Twitter maven.,1,2,1,2,6,7,2,3,1,3,1
146,Food ninja. Typical tv aficionado. Organizer. Pop culture practitioner. Music nerd. Entrepreneur.,2,5,1,1,2,3,2,1,5,1,1
147,Professional alcohol expert. Future teen idol. Total communicator. General social media scholar.,4,4,1,1,10,2,1,3,6,3,2
148,Food specialist. Typical tv evangelist. Hardcore pop culture advocate. Music expert.,4,1,1,1,6,6,2,3,8,1,2
149,Incurable food trailblazer. Infuriatingly humble internet scholar. Evil twitter lover. Lifelong pop culture guru. Tv ninja.,1,1,1,2,4,3,1,2,4,2,2
150,Infuriatingly humble internet practitioner. Creator. Thinker. Incurable pop culture specialist. Tv fanatic. Student.,4,8,2,1,3,5,2,1,8,2,1
151,Communicator. Zombie expert. Alcohol trailblazer. Professional introvert. Organizer.,2,6,1,1,2,3,1,3,11,2,2
152,Food geek. Creator. Wannabe alcohol practitioner. Evil twitter expert. Unapologetic thinker. Lifelong troublemaker.,2,6,3,2,4,4,2,2,5,3,2
153,Thinker. Lifelong zombie aficionado. Travel specialist. Total writer. Typical music junkie. Freelance organizer. Incurable tv advocate.,2,8,2,1,7,2,1,3,2,3,1
154,Tv junkie. Reader. Zombie practitioner. Food enthusiast. Internet specialist. Wannabe communicator.,3,3,2,2,3,1,2,1,5,1,2
155,Explorer. Professional gamer. Typical travel junkie. Web lover. Introvert. Twitter scholar. Friend of animals everywhere.,3,7,1,2,6,7,2,2,1,3,2
156,Friendly reader. Problem solver. Unapologetic introvert. Organizer. Passionate food junkie. Travel trailblazer.,2,2,2,2,2,2,1,3,10,1,1
157,Hipster-friendly zombie junkie. Devoted reader. Total twitter fan. General troublemaker. Social media advocate.,3,8,1,2,3,1,1,3,2,2,2
158,Writer. Subtly charming coffee geek. Friend of animals everywhere. Problem solver. Certified zombie maven. General bacon fanatic. Thinker. Food evangelist.,1,1,1,2,10,7,1,2,2,3,2
159,Beer fan. Passionate web scholar. Future teen idol. Food geek. Avid zombie fanatic. Problem solver. Reader.,4,7,3,1,8,5,2,2,2,3,1
160,Lifelong pop culture trailblazer. Friendly coffee advocate. Amateur introvert. Social media enthusiast. Twitter maven.,1,4,3,2,3,4,2,1,6,2,1
161,Food ninja. Typical tv aficionado. Organizer. Pop culture practitioner. Music nerd. Entrepreneur.,2,2,2,1,8,3,2,3,3,1,2
162,Professional alcohol expert. Future teen idol. Total communicator. General social media scholar.,2,1,1,2,3,8,2,2,10,3,1
163,Food specialist. Typical tv evangelist. Hardcore pop culture advocate. Music expert.,4,5,1,2,5,8,2,1,11,3,1
164,Incurable food trailblazer. Infuriatingly humble internet scholar. Evil twitter lover. Lifelong pop culture guru. Tv ninja.,2,7,2,1,7,8,2,2,5,3,2
165,Infuriatingly humble internet practitioner. Creator. Thinker. Incurable pop culture specialist. Tv fanatic. Student.,1,2,2,2,8,5,2,2,8,2,2
166,Communicator. Zombie expert. Alcohol trailblazer. Professional introvert. Organizer.,4,2,1,2,6,1,2,3,11,2,1
167,Food geek. Creator. Wannabe alcohol practitioner. Evil twitter expert. Unapologetic thinker. Lifelong troublemaker.,2,2,2,2,7,2,1,1,3,2,1
168,Thinker. Lifelong zombie aficionado. Travel specialist. Total writer. Typical music junkie. Freelance organizer. Incurable tv advocate.,1,5,1,2,7,6,2,3,4,1,2
169,Tv junkie. Reader. Zombie practitioner. Food enthusiast. Internet specialist. Wannabe communicator.,2,2,3,1,6,10,1,3,11,3,2
170,Explorer. Professional gamer. Typical travel junkie. Web lover. Introvert. Twitter scholar. Friend of animals everywhere.,4,5,2,1,10,7,2,2,3,1,2
171,Friendly reader. Problem solver. Unapologetic introvert. Organizer. Passionate food junkie. Travel trailblazer.,1,8,3,2,10,4,1,1,2,3,2
172,Hipster-friendly zombie junkie. Devoted reader. Total twitter fan. General troublemaker. Social media advocate.,4,8,2,2,4,3,2,3,8,1,2
173,Writer. Subtly charming coffee geek. Friend of animals everywhere. Problem solver. Certified zombie maven. General bacon fanatic. Thinker. Food evangelist.,1,7,3,1,10,2,2,3,9,3,2
174,Beer fan. Passionate web scholar. Future teen idol. Food geek. Avid zombie fanatic. Problem solver. Reader.,1,1,1,2,9,8,2,2,7,3,1
175,Lifelong pop culture trailblazer. Friendly coffee advocate. Amateur introvert. Social media enthusiast. Twitter maven.,1,8,2,2,9,4,1,1,2,3,2
176,Food ninja. Typical tv aficionado. Organizer. Pop culture practitioner. Music nerd. Entrepreneur.,2,6,1,1,3,8,2,3,11,2,2
177,Professional alcohol expert. Future teen idol. Total communicator. General social media scholar.,3,8,3,1,7,9,1,1,2,1,2
178,Food specialist. Typical tv evangelist. Hardcore pop culture advocate. Music expert.,4,4,2,1,5,6,2,1,11,2,1
179,Incurable food trailblazer. Infuriatingly humble internet scholar. Evil twitter lover. Lifelong pop culture guru. Tv ninja.,2,1,3,1,3,2,2,2,3,2,2
180,Infuriatingly humble internet practitioner. Creator. Thinker. Incurable pop culture specialist. Tv fanatic. Student.,4,2,1,1,8,2,2,2,4,2,2
181,Communicator. Zombie expert. Alcohol trailblazer. Professional introvert. Organizer.,3,1,3,2,10,3,2,2,7,3,2
182,Food geek. Creator. Wannabe alcohol practitioner. Evil twitter expert. Unapologetic thinker. Lifelong troublemaker.,2,1,2,2,9,4,1,3,6,2,2
183,Thinker. Lifelong zombie aficionado. Travel specialist. Total writer. Typical music junkie. Freelance organizer. Incurable tv advocate.,2,5,3,1,4,4,1,1,11,1,1
184,Tv junkie. Reader. Zombie practitioner. Food enthusiast. Internet specialist. Wannabe communicator.,2,2,3,1,9,10,1,2,9,1,2
185,Explorer. Professional gamer. Typical travel junkie. Web lover. Introvert. Twitter scholar. Friend of animals everywhere.,2,5,1,1,8,6,2,1,1,3,2
186,Friendly reader. Problem solver. Unapologetic introvert. Organizer. Passionate food junkie. Travel trailblazer.,3,8,2,1,4,10,2,1,7,2,1
187,Hipster-friendly zombie junkie. Devoted reader. Total twitter fan. General troublemaker. Social media advocate.,4,8,2,1,7,9,2,2,1,1,1
188,Writer. Subtly charming coffee geek. Friend of animals everywhere. Problem solver. Certified zombie maven. General bacon fanatic. Thinker. Food evangelist.,1,7,1,1,6,2,2,1,10,2,1
189,Beer fan. Passionate web scholar. Future teen idol. Food geek. Avid zombie fanatic. Problem solver. Reader.,3,8,3,1,3,8,1,2,2,3,1
190,Lifelong pop culture trailblazer. Friendly coffee advocate. Amateur introvert. Social media enthusiast. Twitter maven.,3,5,3,1,8,8,1,3,10,1,1
191,Food ninja. Typical tv aficionado. Organizer. Pop culture practitioner. Music nerd. Entrepreneur.,3,2,3,2,5,8,1,1,8,1,2
192,Professional alcohol expert. Future teen idol. Total communicator. General social media scholar.,3,2,1,1,8,8,2,1,1,3,2
