,Year,Major_Dept,Ambition,Goals,Music,Sports,Friday_Nights,School_balance,Movie_Genres,Social_Style,Transfer
97,2,4,3,1,1,9,2,1,6,2,1
98,1,4,1,2,1,4,2,1,4,1,2
99,1,6,3,2,8,4,2,3,3,1,1
100,3,3,3,1,9,1,2,3,6,3,1
101,2,4,1,2,7,10,1,3,11,2,2
102,1,8,2,2,10,7,2,2,10,3,2
103,2,8,1,2,7,1,1,1,6,2,2
104,3,3,1,1,1,5,1,2,5,3,2
105,3,7,3,2,9,6,2,2,10,3,1
106,1,6,3,2,10,5,1,2,8,1,2
107,2,5,3,2,3,6,2,1,11,1,1
108,4,4,3,2,3,9,1,1,8,3,2
109,4,6,1,2,10,10,1,3,7,1,2
110,1,1,3,1,9,4,1,1,10,2,1
111,4,5,1,2,2,1,1,3,11,2,1
112,2,4,2,2,2,5,1,1,10,2,1
113,3,7,3,1,4,6,2,1,2,2,1
114,4,7,3,2,8,2,1,3,6,2,2
115,3,8,1,1,6,7,2,3,10,3,1
116,3,7,2,2,2,5,2,2,10,1,2
117,1,7,1,2,7,7,2,2,2,1,2
118,1,1,3,2,9,4,1,3,4,2,1
119,4,1,3,2,9,4,1,2,11,3,2
120,2,3,2,2,10,10,1,1,5,1,1
121,1,5,2,1,2,2,1,3,3,1,1
122,4,1,1,2,3,3,2,2,10,3,2
123,3,1,2,1,7,8,1,2,4,3,1
124,1,4,1,2,7,9,1,2,11,3,1
125,2,8,1,1,9,4,2,1,10,1,2
126,1,2,1,1,1,3,1,1,10,1,2
127,2,2,3,2,8,7,1,2,4,2,2
128,2,4,1,1,4,5,1,1,2,2,2
129,3,4,1,2,10,6,2,2,1,1,2
130,4,7,3,2,3,8,1,3,10,1,1
131,1,1,1,1,5,4,1,3,7,3,1
132,1,1,2,1,10,5,1,3,3,1,2
133,3,8,1,2,5,5,2,3,9,3,2
134,3,2,1,1,4,8,1,2,1,3,2
135,3,1,3,1,5,2,2,3,9,1,1
136,4,4,1,1,7,5,2,2,3,3,1
137,1,5,1,1,9,5,1,3,10,1,1
138,2,7,2,1,9,10,2,3,6,1,1
139,2,8,2,1,5,8,2,1,3,1,1
140,1,2,3,2,5,5,2,1,11,2,1
141,4,5,3,2,10,6,1,2,10,1,2
142,1,2,1,1,1,9,2,1,10,1,1
143,3,8,2,1,7,2,2,2,7,3,1
144,1,7,2,2,5,10,2,1,1,3,1
145,1,6,2,1,1,7,2,3,3,3,1
146,2,1,3,2,3,5,1,1,8,1,1
147,1,6,3,1,10,6,1,2,11,1,2
148,1,1,1,1,6,2,2,2,2,3,2
149,1,7,1,1,1,8,2,2,10,2,2
150,1,4,1,1,1,8,1,2,8,2,2
151,1,1,2,2,8,7,2,1,8,3,2
152,1,2,1,2,3,4,1,2,7,3,1
153,4,2,1,1,8,5,2,2,9,1,1
154,2,6,1,1,6,10,1,3,2,1,2
155,3,7,1,1,2,5,1,3,6,1,2
156,2,3,1,1,8,1,2,2,5,3,1
157,2,4,3,1,8,10,1,2,1,1,1
158,1,8,3,2,5,8,2,3,6,2,2
159,2,2,3,2,3,3,2,2,2,3,2
160,4,5,1,1,8,10,2,1,5,2,2
161,1,8,3,1,10,8,1,2,1,2,2
162,4,6,2,1,9,2,2,1,9,3,1
163,4,4,1,1,8,4,2,2,9,3,2
164,2,7,3,2,7,6,1,3,6,1,2
165,3,4,1,2,6,5,2,1,7,3,1
166,2,2,3,2,8,5,1,1,11,2,1
167,1,5,2,2,4,3,2,3,7,3,2
168,4,2,1,1,7,5,1,2,3,3,1
169,2,4,1,1,9,5,1,2,4,2,2
170,2,3,2,2,4,4,1,3,11,2,2
171,1,4,1,1,5,7,2,1,2,1,1
172,1,7,1,1,10,7,1,2,3,2,1
173,3,3,1,1,1,9,2,1,1,1,1
174,4,5,3,2,2,5,2,3,11,1,1
175,2,3,1,2,1,7,2,2,3,1,1
176,4,3,3,2,4,1,1,1,5,1,1
177,1,5,2,1,4,10,1,3,8,1,2
178,3,6,2,1,8,6,2,2,9,3,1
179,1,4,1,1,3,1,2,1,9,3,1
180,3,8,1,2,3,9,2,1,10,3,2
181,4,8,3,2,10,2,1,3,10,3,1
182,4,2,1,2,1,2,2,2,11,3,2
183,2,3,2,1,8,7,2,3,6,1,1
184,1,6,1,1,8,10,1,2,10,3,1
185,3,4,1,2,2,2,1,3,11,3,2
186,1,7,1,2,9,4,2,1,8,1,1
187,4,3,3,1,2,2,2,1,2,3,1
188,3,6,3,2,9,3,2,3,2,2,1
189,4,8,1,1,4,2,2,2,9,1,1
190,1,2,2,2,7,6,1,2,5,1,2
191,2,4,2,2,2,9,1,2,6,3,2
192,2,6,1,2,10,4,2,3,8,3,2
193,4,7,2,1,3,2,1,2,9,3,1
194,3,4,3,2,3,7,2,1,8,3,2
195,1,1,3,2,9,8,2,1,11,1,1
196,2,2,2,1,5,1,1,1,9,1,2
197,3,8,3,1,10,8,2,3,1,1,2
198,4,1,2,1,9,4,2,1,4,2,1
199,3,4,2,2,1,7,1,2,2,2,1
200,1,5,2,2,4,6,1,2,3,3,2
201,1,3,1,2,1,10,1,1,3,2,2
202,1,1,2,2,7,6,2,2,2,2,2
203,3,2,3,2,10,8,2,1,4,1,1
204,4,3,3,1,10,10,2,3,8,3,2
205,3,6,1,1,1,1,2,1,2,3,1
206,2,5,2,2,7,10,2,2,11,3,2
207,3,3,1,1,9,5,1,2,7,2,2
208,3,4,1,2,10,3,2,1,10,1,2
209,3,3,2,1,10,2,1,2,10,3,1
210,3,5,3,2,7,2,1,3,8,1,1
211,4,4,1,1,6,6,2,2,2,1,1
212,3,4,3,1,10,7,1,1,6,2,1
213,3,8,1,2,4,1,2,1,7,1,2
214,3,7,3,2,7,1,2,3,10,1,1
215,1,5,1,2,10,6,2,2,6,2,2
216,1,7,2,1,7,2,2,2,2,1,2
217,1,6,1,2,9,2,2,1,2,3,2
218,2,7,2,2,4,10,1,2,9,3,1
219,4,7,1,2,7,2,2,1,1,3,2
220,4,1,1,1,3,10,2,2,8,1,1
221,1,7,1,2,7,10,1,2,8,2,1
222,3,3,3,2,4,10,1,1,8,1,2
223,3,7,1,1,2,10,2,3,8,3,2
224,1,7,3,1,2,3,2,2,7,2,2
225,2,4,1,2,7,1,1,3,5,3,2
226,3,3,3,2,8,5,2,1,10,2,1
227,3,5,2,2,9,3,1,2,2,3,1
228,1,5,2,2,1,8,1,3,3,1,1
229,2,8,3,2,9,10,2,3,2,1,2
230,1,4,1,2,5,1,2,3,11,3,2
231,2,4,3,1,4,6,1,3,2,2,2
232,1,3,3,1,10,2,2,3,1,1,2
233,1,7,3,2,9,1,1,2,7,3,2
234,4,8,1,1,8,6,1,3,5,3,1
235,4,1,2,2,8,2,2,3,4,1,1
236,4,3,1,1,8,8,1,2,11,2,1
237,3,2,3,1,5,10,2,1,4,1,2
238,1,2,1,1,7,1,2,3,9,2,2
239,4,4,1,1,6,7,1,2,2,1,2
240,2,2,1,1,7,1,1,3,5,2,2
241,4,4,2,1,5,3,2,1,9,3,2
242,4,2,1,1,2,1,2,3,10,3,2
243,2,8,1,2,10,10,1,3,7,3,2
244,2,7,2,2,5,9,1,1,2,1,2
245,2,1,3,1,3,7,1,2,5,3,1
246,1,8,1,1,4,7,1,3,4,2,1
247,2,4,1,1,5,1,1,1,7,2,1
248,1,8,3,2,5,9,1,2,11,2,2
249,1,1,3,1,8,9,2,3,6,2,2
250,1,1,2,1,10,5,2,2,3,3,1
251,1,3,3,2,10,2,2,2,7,3,1
252,4,3,3,2,7,10,1,3,3,2,1
253,1,2,1,1,4,6,1,3,11,1,2
254,4,7,1,1,7,10,1,1,1,2,1
255,3,7,1,2,3,10,2,1,4,1,1
256,3,8,2,1,8,10,1,3,11,3,2
257,1,4,1,2,4,3,1,1,2,2,2
258,4,7,1,2,5,8,1,2,1,3,1
259,2,2,2,2,1,5,2,2,10,2,2
260,1,6,3,1,5,10,1,1,7,1,2
261,3,8,3,1,1,1,2,2,9,3,2
262,2,7,2,2,7,6,2,1,7,3,1
263,2,2,1,2,4,7,2,1,9,2,1
264,4,7,3,2,1,3,1,3,10,1,1
265,1,7,1,1,10,5,2,3,1,1,2
266,2,8,2,1,7,9,2,3,3,1,1
267,3,6,2,2,5,3,1,3,2,3,1
268,3,3,3,1,7,2,2,1,1,2,1
269,1,1,2,2,5,3,1,2,3,3,2
270,4,8,1,1,5,6,2,1,3,1,1
271,1,8,3,2,2,6,1,1,5,2,1
272,4,2,1,2,5,5,1,2,1,2,2
273,1,1,3,2,7,1,1,3,1,3,1
274,4,4,3,2,5,1,2,3,4,1,1
275,1,1,2,1,7,2,2,2,8,1,1
276,4,7,3,2,10,7,1,1,8,3,1
277,2,5,1,1,7,7,2,1,3,3,2
278,3,4,2,2,3,8,1,3,4,2,1
279,3,7,2,1,4,5,1,3,3,1,1
280,3,3,3,1,2,4,2,2,3,3,1
281,4,1,3,1,4,6,2,2,8,3,2
282,2,4,1,1,7,6,1,1,7,3,2
283,4,8,1,2,4,7,1,3,5,1,1
284,1,1,2,2,6,3,1,3,4,2,2
285,4,4,2,1,5,1,2,3,2,1,1
286,1,2,3,2,4,5,2,2,10,3,1
287,1,8,2,1,6,3,2,1,8,2,1
288,3,6,3,1,6,4,1,2,7,2,1
289,4,5,1,1,9,5,1,3,10,3,1
290,4,1,3,1,4,9,2,1,7,3,1
291,4,1,2,1,10,5,1,2,1,1,1
292,4,6,1,2,6,2,2,2,9,2,2
293,2,4,3,1,5,8,1,1,6,2,1
294,4,2,2,1,3,3,1,3,9,1,2
295,1,5,2,1,4,3,2,2,2,3,1
296,4,3,1,2,8,1,2,2,10,3,2
297,4,7,3,1,5,7,1,3,7,2,1
298,2,3,1,1,9,8,2,1,5,2,2
299,3,3,1,1,9,2,1,1,5,3,1
300,2,8,2,1,3,1,1,2,11,3,2
301,3,2,3,2,8,5,1,3,10,3,2
302,4,1,3,2,10,2,1,2,3,1,1
303,3,6,3,1,8,6,1,2,3,3,1
304,1,5,1,2,7,9,2,2,5,2,1
305,1,6,3,1,4,9,1,2,8,2,2
306,1,3,1,1,9,8,1,3,7,3,1
307,4,5,1,1,9,10,1,2,10,1,2
308,4,5,3,1,7,8,2,1,4,2,1
309,1,3,3,1,1,9,2,2,6,1,2
310,3,8,3,1,4,8,2,2,10,3,2
311,1,2,3,1,6,4,2,1,4,3,1
312,4,1,2,1,8,5,1,2,5,1,1
313,3,8,1,2,2,8,1,1,10,2,1
314,3,2,1,1,10,4,1,1,7,3,1
315,1,5,3,2,3,8,1,3,9,2,1
316,3,5,2,1,4,6,2,1,3,2,2
317,2,6,1,1,5,5,1,1,5,2,1
318,2,6,3,1,7,9,2,1,6,2,1
319,4,1,3,2,6,10,1,1,2,2,1
320,3,2,2,2,5,2,1,2,5,1,1
321,4,2,3,1,2,3,1,1,2,1,1
322,1,1,2,2,3,5,2,3,2,1,1
323,2,4,2,2,8,1,1,3,5,3,2
324,1,5,3,2,6,8,1,2,4,2,1
325,1,8,3,1,1,9,1,2,10,3,1
326,1,2,1,2,4,2,2,3,2,2,2
327,3,4,3,1,10,7,1,1,9,1,2
328,2,5,1,1,4,3,1,3,9,1,2
329,2,4,2,1,6,6,1,2,6,1,1
330,4,8,2,2,10,5,2,1,6,2,1
331,1,7,2,2,5,4,1,1,4,1,2
332,1,6,2,1,2,8,1,2,9,2,2
333,1,1,1,2,3,6,1,1,7,3,1
334,1,6,2,1,2,8,2,3,5,3,2
335,4,7,3,1,8,9,2,2,5,3,2
336,2,7,2,1,2,9,2,2,11,1,1
337,4,7,3,1,7,7,2,1,2,2,1
338,3,3,2,2,1,2,2,2,4,2,2
339,4,5,1,2,4,6,2,1,3,3,2
340,3,8,2,2,1,8,2,1,1,1,1
341,3,2,2,2,4,6,1,2,2,3,1
342,4,4,1,2,2,9,2,3,11,2,1
343,2,4,2,2,5,4,2,2,5,2,2
344,4,7,1,2,8,4,2,3,11,2,1
345,1,2,1,1,4,9,2,2,7,3,1
346,1,8,1,2,1,6,1,3,11,2,1
347,4,4,3,1,3,4,2,3,7,3,1
348,4,7,2,2,9,8,2,2,1,1,1
349,4,5,1,1,1,9,2,2,9,3,1
350,4,3,3,1,4,8,2,1,9,1,2
351,1,8,1,2,2,2,1,3,5,3,1
352,1,8,1,2,5,6,1,2,10,1,1
353,2,1,3,2,10,4,2,3,7,3,2
354,2,1,2,1,2,7,1,3,1,3,1
355,3,7,1,1,4,2,1,2,8,1,1
356,2,2,2,1,6,10,1,1,11,2,1
357,3,3,2,2,9,4,2,1,7,1,1
358,4,4,2,2,3,7,1,2,8,3,1
359,4,2,3,2,10,10,1,2,11,1,2
360,2,1,2,2,5,8,2,1,9,2,2
361,1,3,1,2,5,5,1,2,1,2,2
362,1,1,1,2,9,4,1,3,7,2,2
363,2,3,3,2,9,2,2,1,5,1,1
364,4,1,3,2,8,7,2,1,6,3,2
365,1,1,1,2,3,7,1,2,4,2,2
366,3,2,1,1,7,2,1,1,8,1,2
367,1,3,1,2,9,9,1,1,5,3,2
368,4,1,3,1,10,8,2,3,3,1,1
369,2,6,3,1,8,1,2,2,11,1,2
370,2,1,1,1,10,6,1,3,7,1,1
371,2,4,3,1,5,2,1,3,7,1,1
372,3,6,1,2,3,8,1,1,4,2,1
373,3,5,2,2,7,7,2,1,11,2,1
374,1,7,1,1,5,8,2,1,5,3,2
375,2,6,1,2,9,7,1,2,9,3,2
376,1,5,1,2,10,8,2,2,10,2,2
377,4,7,3,1,2,10,1,1,7,2,1
378,1,2,3,1,3,5,2,2,2,1,1
379,4,8,1,1,3,1,1,1,6,3,2
380,4,5,3,2,10,5,1,3,2,2,1
381,2,1,1,2,6,6,1,1,11,1,2
382,2,7,1,2,10,1,2,1,11,3,2
383,2,8,3,2,4,6,1,3,8,2,2
384,3,3,3,2,9,5,1,2,6,2,1
385,4,4,2,1,4,2,1,3,3,1,1
386,1,2,3,2,6,2,2,1,7,3,1
387,1,2,1,1,6,6,1,3,5,3,2
388,4,4,2,1,1,7,2,2,6,3,2
389,1,2,2,2,4,5,2,1,7,2,2
390,2,3,3,1,1,1,2,2,4,1,2
391,2,5,3,1,6,5,2,1,5,3,1
392,1,8,1,1,4,5,2,3,11,3,1
393,3,8,3,1,8,3,1,1,10,1,2
394,3,8,1,2,7,5,1,3,4,1,2
395,4,7,1,1,9,10,1,1,3,1,2
396,3,4,2,2,9,5,2,2,11,2,1
397,2,8,2,2,9,1,1,2,10,3,2
398,1,2,1,1,10,4,1,1,5,1,2
399,3,3,2,1,2,6,2,1,6,2,2
400,1,8,3,2,7,1,2,3,2,2,2
401,3,5,2,1,2,8,1,2,10,3,2
402,4,5,2,2,9,9,1,3,2,1,2
403,1,7,2,1,1,5,2,3,9,2,2
404,4,6,2,2,5,10,1,2,9,1,1
405,1,4,2,2,3,6,2,2,5,2,1
406,3,6,3,1,3,5,1,2,7,3,1
407,3,7,2,1,4,4,2,1,6,2,1
408,4,3,1,2,7,2,1,1,1,1,2
409,1,1,2,2,4,6,2,1,8,1,1
410,2,6,1,1,5,6,2,3,10,1,1
411,4,2,1,2,3,8,2,3,11,1,2
412,1,1,2,1,5,10,2,2,2,1,2
413,3,2,1,1,4,7,1,3,2,1,1
414,2,5,1,2,6,10,1,1,8,1,1
415,3,4,2,1,3,9,1,3,1,3,1
416,3,7,2,2,1,2,1,3,10,2,2
417,3,8,1,1,6,3,1,2,9,3,2
418,2,8,2,1,9,7,1,2,11,1,2
419,3,1,3,1,2,7,1,2,3,2,1
420,3,6,1,1,3,4,2,1,10,1,2
421,3,8,2,2,6,9,1,3,10,3,1
422,2,4,1,1,8,8,1,3,1,1,1
423,3,2,1,2,6,8,1,1,10,2,1
424,4,5,1,1,7,7,2,1,11,2,2
425,3,6,1,2,9,3,1,2,6,3,1
426,3,8,3,1,8,5,1,3,8,3,1
427,2,5,2,2,8,6,1,3,7,3,2
428,4,8,3,1,10,3,1,1,7,1,2
429,1,7,1,1,8,8,2,3,5,3,2
430,1,2,1,1,7,3,2,3,7,2,1
431,2,5,2,1,7,7,2,1,9,2,1
432,2,5,2,1,3,1,1,1,3,2,2
433,3,3,2,1,3,4,2,2,11,3,1
434,2,6,2,1,2,5,2,1,3,2,2
435,3,1,3,1,3,8,1,3,6,1,1
436,2,5,1,1,6,10,2,2,2,1,2
437,4,3,2,2,5,8,2,2,3,1,1
438,1,3,3,2,3,6,1,2,11,3,2
439,1,5,1,2,2,4,2,3,6,3,2
440,2,5,1,2,10,6,2,2,10,3,1
441,1,7,1,1,3,3,1,2,5,1,2
442,3,6,2,1,6,3,2,2,3,3,2
443,2,6,1,1,1,1,1,1,11,2,2
444,1,8,1,1,4,1,1,3,11,2,2
445,4,7,1,2,1,3,1,1,1,3,2
446,4,3,2,2,8,6,1,2,11,1,2
447,1,5,2,2,9,10,2,1,10,3,2
448,3,5,2,1,1,9,2,1,10,3,2
449,2,3,1,2,10,10,2,1,11,3,2
450,2,4,3,2,1,6,2,2,4,3,1
451,1,5,1,2,2,6,2,2,3,3,1
452,4,7,1,1,5,10,2,2,10,2,1
453,4,8,1,1,3,1,2,2,9,3,1
454,1,5,1,2,4,7,1,1,5,3,1
455,3,8,1,1,3,8,1,3,8,1,2
456,1,7,2,2,6,2,1,1,8,1,1
457,3,1,1,1,8,1,1,3,8,2,1
458,2,8,2,2,2,2,1,3,2,1,1
459,1,1,2,2,6,1,1,2,1,3,1
460,3,1,3,2,8,8,1,3,9,1,2
461,4,5,1,1,2,9,2,3,4,1,2
462,2,3,2,1,4,4,1,3,10,1,1
463,1,5,1,1,9,2,2,2,8,3,1
464,2,3,3,1,7,3,1,1,9,1,1
465,2,2,3,2,4,3,2,1,9,1,1
466,3,6,3,1,8,6,2,3,1,2,2
467,4,1,1,2,8,1,2,2,11,1,1
468,3,7,3,2,7,9,2,3,4,1,2
469,4,5,1,1,6,3,2,3,3,2,2
470,3,4,2,1,6,5,1,2,2,3,1
471,2,8,1,2,3,7,2,2,2,3,2
472,2,5,3,2,2,7,1,1,8,3,1
473,4,6,3,1,5,10,1,2,2,2,1
474,1,3,2,1,1,1,2,1,11,3,1
475,4,5,1,1,6,9,1,3,6,3,2
476,1,4,3,2,5,5,2,2,11,2,2
477,2,3,3,2,7,7,1,2,5,3,2
478,2,1,3,1,2,1,2,2,11,2,2
479,4,5,3,1,3,8,1,2,5,3,1
480,2,5,3,2,4,4,1,3,4,3,2
481,2,4,3,1,5,2,2,1,1,3,2
482,1,2,1,2,5,7,1,2,7,1,1
483,3,6,2,1,10,1,2,3,11,2,1
484,2,6,3,1,3,2,2,3,5,1,1
485,3,6,3,1,5,10,2,3,4,3,1
486,2,1,3,1,2,3,1,1,7,1,2
487,2,7,2,1,10,1,2,1,8,2,2
488,1,5,3,1,10,5,1,2,10,2,1
489,4,3,1,1,3,3,1,3,5,1,1
490,1,8,2,2,5,4,2,2,6,3,1
491,1,7,1,2,5,7,2,2,7,1,2
492,3,2,1,2,10,4,1,2,10,1,1
493,2,4,3,2,4,2,2,3,3,3,1
494,3,4,2,2,3,10,1,1,8,3,2
495,1,2,2,1,2,2,2,1,5,1,2
496,1,3,3,2,6,2,2,2,11,3,1
497,1,1,2,2,4,2,2,3,4,2,1
498,3,3,2,1,2,6,2,3,1,1,2
499,1,2,2,2,3,4,1,3,4,1,2
500,1,7,3,2,8,1,1,2,8,3,2
501,2,4,1,1,2,6,1,2,1,1,1
502,4,2,3,2,2,1,2,2,9,2,2
503,1,8,3,2,8,6,1,3,10,1,2
504,3,5,3,1,6,5,2,3,10,2,1
505,4,6,1,2,10,7,2,1,10,1,2
506,4,2,2,1,2,2,1,1,10,1,2
507,3,6,2,2,1,6,2,3,7,1,1
508,4,2,2,1,2,9,2,2,9,3,1
509,2,3,3,2,6,3,2,2,4,3,2
510,2,2,1,1,1,1,2,3,5,1,2
511,4,8,1,1,9,7,1,2,8,3,1
512,2,4,1,2,4,7,2,1,3,2,2
513,3,5,2,1,8,7,2,1,8,1,2
514,2,8,1,2,6,10,2,2,10,1,1
515,3,2,2,1,9,4,2,3,1,2,2
516,4,6,2,2,1,7,1,2,11,2,2
517,2,1,1,1,4,1,2,2,9,1,2
518,4,3,3,2,8,1,2,2,1,2,2
519,3,3,1,2,10,7,1,1,9,1,1
520,2,4,3,2,5,10,2,2,1,3,1
521,4,1,2,2,1,4,2,3,6,3,2
522,3,6,3,2,7,8,1,2,4,1,1
523,2,8,3,1,8,3,1,2,5,1,2
524,2,5,3,1,9,5,2,3,10,1,2
525,3,8,1,1,6,10,1,1,4,3,2
526,1,5,2,1,6,6,2,1,7,2,2
527,2,2,2,1,5,8,2,2,5,2,2
528,3,3,1,1,4,5,2,2,5,2,2
529,4,3,2,2,6,1,2,2,5,3,1
530,4,1,1,1,6,9,2,1,11,3,1
531,1,7,1,2,9,4,2,3,9,3,1
532,1,4,2,2,9,8,2,2,10,2,2
533,3,6,1,2,6,8,2,2,3,1,1
534,4,3,1,2,7,10,1,2,2,2,1
535,2,5,1,1,7,8,1,1,1,3,1
536,2,8,2,1,3,7,1,3,10,3,2
537,3,3,2,1,4,9,2,2,4,3,1
538,4,6,2,1,10,3,1,2,8,1,2
539,2,7,3,1,6,1,1,3,5,3,1
540,2,7,3,1,6,7,1,3,10,3,1
541,3,4,2,1,3,4,1,2,7,1,2
542,2,2,3,1,2,1,1,1,1,3,1
543,4,2,2,2,4,4,2,2,8,1,1
544,3,8,1,1,10,5,2,3,8,3,2
545,4,4,1,1,7,10,2,2,2,3,2
546,4,2,3,1,4,3,2,1,4,3,2
547,3,3,3,1,9,3,2,2,11,2,2
548,4,8,2,2,6,1,1,2,10,3,1
549,3,7,3,2,8,3,2,1,11,3,1
550,4,4,1,2,5,6,1,2,6,2,1
551,1,2,1,2,8,5,1,3,2,2,2
552,1,6,2,2,10,1,2,2,2,3,1
553,2,8,2,2,9,1,1,3,5,1,1
554,2,1,3,1,9,4,1,1,2,2,1
555,3,7,3,2,9,4,2,3,1,3,1
556,1,5,3,2,1,1,2,3,5,3,1
557,3,7,2,2,9,1,2,1,9,2,1
558,4,2,3,1,9,3,1,1,6,2,2
559,2,2,2,1,7,2,1,1,1,2,2
560,1,5,3,2,8,1,1,2,7,3,2
561,3,1,1,2,7,3,1,3,8,1,2
562,4,8,1,1,6,2,2,1,1,3,1
563,4,2,2,1,5,1,2,3,7,3,2
564,2,4,1,2,2,9,1,3,1,2,1
565,1,8,2,1,1,2,1,2,1,1,1
566,3,8,2,2,5,7,1,3,8,2,1
567,4,7,2,2,7,3,2,2,10,2,2
568,3,4,1,2,4,9,1,2,3,2,2
569,3,4,3,1,4,8,2,2,11,1,2
570,2,4,2,2,3,4,1,1,5,3,1
571,4,7,2,2,9,10,2,1,5,1,2
572,1,2,1,2,9,1,2,3,4,2,2
573,3,6,2,1,8,8,2,3,3,2,2
574,4,7,1,2,4,6,2,2,10,1,1
575,4,3,3,2,4,1,1,2,10,1,2
576,1,4,1,1,3,5,2,1,4,1,1
577,4,1,1,2,4,5,2,1,4,1,2
