,user,bio
29,tkradio,"Creating content on a content delivery platform near you, which also includes voice content. Tweeting Music, Pop Culture, Politics and random stuff, too. Love."
30,andrealealtv,"Tv Host / Personal Trainer & Nutritionist Instagram: https://t.co/Nvjg8u5ZbR Houston, TX"
31,WahmMaam,#WAHM #freelancer #remotework #writer #Kentucky #food #momlife #diy #crafter #naturephotography | @moreheadstate sociology alum | James Milner stan | #YNWA
32,GHS_BruceHouse,Bruce House ⚫️ Pastoral Care at Govan High School (Miss McNaught)  contact us at:- lmcnaught@govanhigh.glasgow.sch.uk #dowellanddoubtnot
33,FormulationTech,"A contract manufacturer, combining cutting-edge technology with old-fashioned personal service and integrity. We provide best-of-class business solutions."
34,choosecubby,"On Demand Short term luggage storage service. Easy, Secure and Affordable starting at $5.90 - Book Online #choosecubby #gounbagged"
35,LeeHighSchoolF1,"Lee High School Football (Huntsville) Official Twitter Account. Follow for the latest News, Recruiting, and Highlights"
36,VisitAnnapolis,The Official Destination Marketing Organization for Annapolis and Anne Arundel County. #VisitAnnapolis #ExperienceBWI
37,mizzshar0nz,city employee - freelance cosmetologist     instagram:mizzshar0nz
38,unicornwranglrs,"New Store on Tee Public!
New album - Spring 2021!
Indie Rock Band from Pensacola, FL"
39,dailyfishingBot,"All things #fishing related. 
DM for more info.
Tight lines !"
40,TishaErby,"Mom of 5 Boys,I’m Team #SummerHillPreSchool #JLFrancis #RiverCityMiddlePTSO & I’m a proud supporter of #WeAreRPS #KeepKamras #ReOpenWithLoveRemix"
41,Stevquoahjr,🇱🇷🇬🇭 Award Winning Comic book Writer | Creator @Mcfseries | Founder @ActiveFantasyP | WMC Issue #1 shipping TBA! | My views are my own. #blacklivesmatter
42,NancyTr83158469,"Sourire dans les yeux! Smile in the eyes! 😍 I share content on #StartUps #ML #AI #HealthTech #EmergingTech #HealthyLifestyle #Music...
 Have #FikaFunTimes!😉"
43,imkylerobinson,Redeemed. #iteachmath in the 414. basketball and track coach. 53140. Ravenclaw. INFJ. writer. Education is my activism. #mtbos #bmestalk he/him/his
44,ChrisH8Politics,"God Bless #WeThePeople & #Earth! World Govts running #ConGames. Down Rabbit holes we go 🐇#FollowTheMoney,
Our #Evolution is #Revolution. I'm #NeoVendetta 🗽/🥷"
45,Joe19G27,Expect nothing. Appreciate everything. European #football passion. Married. Father of Two. Middle child. Third coolest.
46,mansuraminhas,Striving for social justice and pluralism with a strong conviction that these are the building blocks for universal peace ☮️
47,umnhsl,"Providing expertise, engagement, critical content, and cutting edge technologies to advance teaching, learning, and research in the health sciences."
48,ReneeGolz,"Director of Beginning Teacher Development & Support, Charlotte Mecklenburg Schools"
49,troymezz,"I am a teacher @ JHHS, Golf & Wrestling Coach. AND an awesome wife and daughter make life even better."
50,musebooj,Self❣️is the 🗝 🐝You Always 🌺 HiddenGem 💎 Inspiring 📸 Yogi🧘🏽‍♀️ SC: So.Shemaaa https://t.co/toqI480bJA Shop @byouonly for handmade authentic gems 🛍
51,CMSBTSuccess,
52,Amature007,Dancer Model Etc...
53,WildBlueRopes,"Charleston's top outdoor attraction!
Team Building, Groups, Birthday Parties, Youth Programs, Class Trips, Family Fun & more. Come climb with us!"
54,TitansNCIMS,Welcome to the official page of New Century International 🌎 Middle School. CCS Choice Middle School; Chinese & Spanish Language Immersion Programs
55,FureverLlc,Furever Mine Boutique is a family owned business established 8/2020. We provide affordable pet fashion ✨
56,normsworld,"School Board Trustee Ward 9 @TCDSB. Board @afltoronto, Chair @NoJetsTO. Father. Cyclist. norm@trusteenorm.ca 6479173198  #onted"
57,FreadomUSA,LAUNCHED late OCTOBER | Social Enterprise Outfitter & Advocate LIFE+LITERACY=Pursuit of Happiness | 100% Net Profits Fight for Literacy in America
58,PetandHomeCare,Providing loving pet care and home cleaning since 1999. ❤️🐶🐱🐰🐸🐠❤️ Call us today (301) PET-CARE
59,toronto4kids,"A free parenting directory in Toronto and the GTA, featuring kids' programs, birthday planning, camps, shopping, events, attractions, contests, and more!"
60,LexusofLakeside,Full-service Metro Detroit Lexus dealers. Proud to be one of Michigan's only Certified Female Friendly Lexus dealers. (586) 726-7900
61,ReadingPartners,Reading Partners is a national nonprofit empowering community volunteers to help students gain the reading skills they need to reach their full potential.
62,cookmuseum,"The Cook Museum of Natural Science is a 501c3, non-profit foundation with a mission to engage, excite, & educate visitors about the natural world around them."
63,PrologueArts,Prologue seeks to to enrich the lives of every young person through diverse and impactful performing arts experiences.
64,DadarBardia,"Private Law teacher at University.
Into The Contract Law & specialist in business law. Droit Law.
Lawful purposes only.
Peace and Humanity work."
65,CSUFPTS,Official CSUF Parking & Transportation Services Page! Stay current on all of your CSUF parking news and updates.
66,FacecardGlasses,"Fashion Sunglasses  for Men & Women
Our Motto:  Like a deck of cards the FaceCard is always on the table ♠️♠️♠️♠️
Follow us on FB & IG

#blackownedbusiness"
67,hcucdigital,"I am a bot, sometimes a human, hopefully I tweet some useful links! Reply/DM for a human. Follow @UxbridgeCollege or @HarrowCollege for official accounts."
68,CCESLaw,"Victoria, #Texas Law Firm handling personal injury, oil & gas, estate planning, & commercial litigation cases. Committed to our #Clients #Community and #Safety."
69,TheMediumRU,"Rutgers University's greatest news source, since 1970. The ONLY Weekly collegiate satirical newspaper in the United States. Follow us on IG @themediumru"
70,KikaHippie,"Random spanglish tweets, mainly horror stuff.
Dug & Gir are my animal spirit🐶
Scientist, vegetarian, endowarrior and queer🌈
I just want to make crazy science."
71,bhtp,"We make it easy to choose the right trip protection for you, and then we add fast claims processing and speedy claims payment. It's travel insurance your way."
72,hprhs_jmorales,class of '23 // social media ambassador // student council class vice-president // hprhs save vice-president
73,destiyanabadd,Ambitious Girl | Level Up Mentor | Entrepreneur  Strategist | Leader | Creative Dir. | 📶 destiyanabadd@gmail.com
74,HarrowCollege,"We provide A-levels, BTEC, Apprenticeships, HNC/HND, GCSE, Foundation, Entry and ESOL courses. Adult Learner courses also available. Enrol Now!"
75,KRich312,"Mom. Soccer Fan. Coffee Lover. 2nd Grade Teacher. Science of Reading Believer. Book Collector.   

CashApp: $KRich312"
76,kashoz18,BK & Murphy's mom | Go Dawgs!! | @dnorton is way funnier
77,ASASLasVegas,"We provide free, comprehensive after-school programs to nearly 6,000 underserved children annually in Southern Nevada."
78,TbradarYt,"i make gaming videos on Xbox and guitar tutorials

new video everyday 12:15 pm mountain time

channel art by- @vissruq
check out- @vissruq on youtube"
79,isaberryk,Author/Illustrator of NO FUZZBALL! (@scholastic 2020) • Illustrator of ABC CATS & 123 CATS (@Candlewick 2021) •Educator• Rep’ed by @literaticat @AndreaBrownLit
80,RyVytalize,I’m just a casual gamer who enjoys playing video games in his free time 🤖🤓👾.
81,norawheelerwssd,Educational leader passionate about helping others advance their instructional practice with the purposeful integration of technology
82,ogalotrebor,"👨🏻‍💻 Marketer📱Tech  Stan  
🍿 Film 🎧 Music ✈️ Travel"
83,hprhs_JVolker,Class of ‘23 // Social media ambassador // Student Athlete: Field hockey Lacrosse
84,AzrienJade,Impress yourself first
85,LARideShareGuy,Driving for Lyft so you don't have to.
86,amblackjournal,"Hosted by @SHDetroit, ABJ has presented issues and events from African-American perspectives since 1968. Airs SUNDAYS at 9:30 a.m. on @detroitpublictv"
87,DPTVOneDetroit,Context for complex issues - community-driven stories @ChristyTV w/ @NolanFinleyDN & @SHDetroit Watch MONDAYS & THURSDAYS @ 7:30p ET @detroitpublictv
88,KidTripster,Dedicated to helping families share life-changing travel experiences
89,ItsTheBahamas,
90,azkhalon,I post videos on YouTube and tweet here on Twitter!
91,MidSouthIce,"A year-round family ice skating center in the #Memphis Metro area offering public #iceskating, #skatingschool, #figureskating, #hockey, and other programs."
92,LexusSouthfield,Full-service Metro Detroit Lexus dealer. (248) 372-7100.
93,All4FreeMe,
94,kait_nova,the queer tattooed math teacher with the haircut. she/they. $KaitNova
95,staughumane,The St. Augustine Humane Society offers lifesaving resources to help keep pets with their loving families instead of being relinquished to animal shelters.
96,soccerjill,Designer/maker of 👜😷 & accessories who doubles as a paralegal; soccer player; boxing lover; Ravens/Orioles; music fanatic; mom; superwoman; cancer survivor 💞
97,CRHM_Dickson,State Historic Site. Education. Events. Tours. Venue Rental. Membership. Community Center. All at the heart of Dickson.
98,QCHSPantherPack,Quakertown Students Telling/Tweeting their Stories of Quakertown High School.
99,CoachHarrelson_,OL Coach @ Northside HS - Huntingdon College Graduate - USAW Level 1 Weightlifting Certified - Self Taught Graphic Design - jonlharrelson@gmail.com
