,Unnamed: 0,user,bio,Cluster Labels
54,54,lenihoppenworth,"she/her @indivisibleteam @indivisibleil @Indivisible9IL @chicago_reader and @chicagodances. photo by 
@GlitterGutsy #BLM",2
55,55,GECSINC,GECS is a school staffing organization that hires employees for 25 school districts within Genesee County and surrounding areas.,2
56,56,Eco1stArt,"Featuring the most stunning eco friendly items on the planet: fine art, furniture, jewelry & apparel.Connecting ecological & innovative artists worldwide.",2
57,57,MissyPartin,"I'm a wife and mother/Grandmother and like everyone in this country that's sane, I'm worried over this #fakepresident I'm a Democrat waiting on 2019....2020",2
58,58,kelsogonzo,Senior at CSUSB KINESIOLOGY && a stay at home dog 🐶 mom 💕,0
59,59,msyoung_hshs,,4
60,60,nomnombearinyvr,Mom of 2 boys,0
61,61,Sandeep53439802,god kabir,3
62,62,_charlizita_,I love my bf,3
63,63,its_kayli_b,(she/her)//Big Brother//Survivor//MTV//Texas 🇲🇽🇺🇸//Cats//Cancer ♋️,2
64,64,roberticu,"STILL LEARNING🌴 
IT'S NOT HOW YOU START THAT COUNTS🍀
IT'S HOW YOU FINISH THAT'S IMPORTANT🍀",2
65,65,nataliecat24,"School Counselor in Adelanto Elementary District, Associate Clinical Social Worker, Youth Advocate, She/ Her/Hers. Integrity is choosing courage over comfort.",2
66,66,MonicaPysher,I'm kind and loving and I love God.  I absolutely love cats!,3
67,67,CIGNYC,"A diverse coalition of 34 nonprofit museums, performing arts centers, historical societies, zoos and botanical gardens, located in all five boroughs of NYC.",2
68,68,gocards4,who gonna check me boo? am VIP... see the passes? Hope eveyone lives thier life to the fullest!  Louisville🏀! love the REDSOX,3
69,69,LARideShareGuy,Driving for Lyft so you don't have to.,2
70,70,380Fashion,"Exclusive Apparel & Footwear | Home of The Flyest Men Fits | Early Release Kicks Nike, Jordans & More | Online Now | https://t.co/kcVSQKYPpb + FREE SHIPPING",0
71,71,voicing_freedom,Unconventional survivor curated progressive unapologetic space. #Freedom #Arts #MeToo #ActToo #NoMore #HumanRights If you don’t like #radicalism don’t follow,2
72,72,twinklresources,Engaging & inspiring teacher created resources for 0-18+ Our blog: https://t.co/chgRM5SSAE Use #TwinklTeach or #HelpThoseWhoTeach to join the conversation,2
73,73,lippaofficial,Composer/lyricist/writer/actor/conductor/teacher/Interfaith minister/citizen. I live in Ohio and NY. I love them both.,3
74,74,JeffersonandCo,"Advocate*Author*AAJJP
Creator*#FemaleNOTFeemale #RaiseTheAgeGA  Architect #VisionForBlacks Moderator #NoDerby146 #JusticeForCarol",2
75,75,dynaLIFE,"Driven by innovation, guided by compassion, committed to the communities we operate in, DynaLIFE has been improving the health of Albertans for over 60 years.",2
76,76,brierleydarren,Community Safety and Crime Prevention Volunteer,2
77,77,SDCCEEDU,"California’s largest noncredit institution with 7 campuses and 200 offsite locations.

SDCCE is part of the award-winning San Diego Community College District.",2
78,78,JWillsNH,"From hope, there is glory! 丨 I paid too much to do band (17-19) 丨 UC19 丨NB (they/them)丨8/13/19 | BLM | #KeepPounding",2
79,79,duchess_2u,God’s given Princess! 😁,3
80,80,bethlovesham,"Just your typical karaoke superstar, touring the county with her emotional support ham. Hire me. I’m cheap. (she/her)",2
81,81,menscave7,Check out men's Ebay Store Always below retail! https://t.co/w7lX1YlKXc Please Retweet.,2
82,82,LampworkBench,"Twitter for https://t.co/wTCXpOB3Iz Boro Glass Artist: check out my etsy shop for glass gifts, decor, custom orders and more. Plz Follow and RT :) thanks",2
83,83,meade_kerri,"3rd generation Montanan. Proud wife of a marine, daughter of a marine, granddaughter of a marine, daughter-n-law of a marine, and sister-in-law of a marine.",2
84,84,brooklyncentre,National Heritage Area --(first settled area of Brooklyn Twp aka Old Brooklyn est 1812) Village of Brooklyn and Village of South Brooklyn aka Old Brooklyn,1
85,85,brooklyncentre,National Heritage Area --(first settled area of Brooklyn Twp aka Old Brooklyn est 1812) Village of Brooklyn and Village of South Brooklyn aka Old Brooklyn,1
86,86,CSULBbeachbuddy,Beach Buddies are here to provide effective peer-to-peer mentoring for CSULB students while also promoting communal mental health awareness and wellness ✨,2
87,87,LeahNtuala,adventurer. lover of life. rebel with lots of causes.,2
88,88,lisaMToronto,47 with awesome son and husband. Trying to find happiness every day :),2
89,89,_nailsbychar_,Self-Taught in designing fancy Gel-X Sets and Press-Ons Follow my Instagram for bookings,2
90,90,DunegrassCo,"Dunegrass, offers a wide array of flowers, concentrates, edibles and topicals all grown, processed and tested in Michigan by licensed partners.",3
91,91,brooklyncentre,National Heritage Area --(first settled area of Brooklyn Twp aka Old Brooklyn est 1812) Village of Brooklyn and Village of South Brooklyn aka Old Brooklyn,1
92,92,EricaGrowNYC,"Owner of @WeatherElevate, @ametsoc Councilor, CBM #593. Freelance meteorologist @pix11news. #PennStateProud. Easily distracted by dogs.",2
93,93,RedHawk4eons,Don't complain because you don't have what you want! Be thankful you don't get what you deserve!,2
94,94,SparkProgramCHI,Leading The Possibility Movement through career exploration & self-discovery opportunities for middle school students.,2
95,95,MuseumofCityNY,Where the past informs the future. Now open Fri-Sun. Visit us online at https://t.co/5JWhgZ7c2S #MuseumMomentofZen #CovidStoriesNYC #ActivistNY,2
96,96,ChinoValleyUSD,,4
97,97,WISESTualberta,"Women in Scholarship, Engineering, Science and Technology. 

Encouraging a diversity of voices in STEM fields through educational programs and networks.",2
98,98,primadancing,,4
99,99,JaylynneParsons,"I love my family, my cats, my friends, and my job, as well as traveling, volleyball, sunshine, the beach, great deals and contests.",3
