,Bios
287,am creativ adventur mischiev yet respons and practic woman am play happi upbeat and fun forg my own path in the world and am bit of non conformist at the same time like to be abl to take part in the world or role of hippi corpor worker bee artist renfair or dicken fair victorian waltz steampunk and down to earth friend one of my favorit afternoon ever was spent on the playa mist peopl from the back of two seater bicycl stuff do have full time job and part time busi enjoy in no particular order hike kayak paint art yoga medit go to the gym read languag card and board game yard sail learn to play the guitar play with my cat fire spin hang out with friend see movi and film think esoter thought eat healthi meal have cook and cuddl when fall asleep that previous paragraph make me sound so busi also like to just chill! philosoph am left lean believ in equal fair help other respect and the power of gratitud love natur and anim and believ human are the steward of the earth and must care for it look for partner who has bright outlook on life enjoy be activ outdoor and mellow indoor like think and express himself enjoy explor new place and is more inclin to place an insect outsid than kill it also if he had dog that could be realli fun have dog envi right now
391,ok here goe ve been describ by friend as renaiss man have my crap togeth and look for the same work in high tech green tech it doe not suck also enjoy real estat as hobbi also like to volunt and give back kind of jokest and like to have fun live in marin sinc was went to school in chico tri silicon valley but want to buy hous so move back to marin been divorc year and veri activ in my kid live and they make me smile everi time think of them so what am look for here? someon who has their stuff togeth job live within her mean tread light spiritu physic and emot you keep your work in check you are sweet compassion care and we share chemistri usual know within the first minut of meet howev it hard to put into word be an ari can have mood swing where hunker down and get quiet good match can help ferret out what ail me exercis help can be stubborn at time can also be veri dynam also am not an alpha male type prefer smaller gather where can connect with few peopl as oppos to big parti still enjoy big parti after all went to chico have been describ as run tight ship but feel rais respect kid becaus of it have good life look for someon to complement me and for me to complement you should me if anyth here reson no realli warn ani institut or individu use this site or ani of it associ site for studi or project you do not have permiss to use ani of my profil or pictur in ani form or forum both current and futur if you have or do it will be consid violat of my privaci and will be subject to legal ramif it is recommend that other member post similar notic
396,am well round self employ profession look to share in laughter adventur play and share vision enjoy the outdoor travel though need to do much more of both as well as all that the citi has to offer believ in take care of one bodi and enjoy live music danc club from time to time good food and wine natur adventur and intrigu convers although free spirit whole heart believ in integr loyalti commit and honor whenev possibl relish in special moment be it great convers beauti sunset vista or someth unusu have travel in europ central america south central asia and southeast asia and consid worldli qualiti to be cultiv have climb mt shasta thrice and half dome onc rather than small talk appreci stimul convers quick wit and the occasion low brow humor anyth can be great time with the right compani bit reserv have strong person and opinion and yet am open mind compassion and expans in my world view my friend would describ me as play warm fun generous wise witti resourc down to earth enjoy my work and am look to simplifi my life to what is import enrich and excit believ in person growth and that there is alway someth more to learn from life am look for woman who know her beauti and intellig who strive has integr know how to have fun realli care about those around her and enjoy open in depth communic is this you? are you independ while loyal? are love and life subtleti import to you? are you abund witti seduct romant at heart quick to smile give adventurous? you enjoy the citi and the outdoors? you have much to teach and share and are not afraid of challenges? if so love to hear from you drop me line or wink if you like to chat bare bite
415,hopefulromant was taken and 2hopefulromant was too long lost the oh well where do start okay am simpl human be yet with deep soul who has heart of gold and who believ in fairi tale howev also believ that the pillar of ani success relationship are understand loyalti honesti compromis the will to make thing work communic and respect believ in fate too and that peopl meet for purpos of higher natur and that there is reason for everyth have wait and continu to wait for my dream girl and don mind wait my whole life for her have promis myself to stay singl and not to marri for the sake of be marri onli will marri when fall mad in love with that special woman who will make my heart miss beat everi time see her or even just think of her just to clarifi my dream girl is not model via the way she look becaus look alon doe not defin my dream girl also am not go to make long list of all the thing she should be if did that then might miss realli good woman howev for simplic sake would say that like the woman who is loyal romant sweet compassion sincer genuin and who honor nurtur and or take care of her mind bodi and soul by know me you would discov that am genuin true gentleman compassion romant loyal and faith sensit introvert to some degre humbl and down to earth dislik with passion those who play game or those who lie and cheat am not into one night stand never was and never will be watch the rainbow and hear laugh child make me happi they re enforc my hope in everyth good in life when it come to deal with peopl am strong believ in the say treat peopl as you like to be treat oh and love poetri write when inspir and good dark chocol with almond and or strawberri yet better love walk enjoy long distanc drive and begin to play tenni onc again after long layoff thank you and best of luck to you
423,on vacat for month like peopl of all shape size background especi like smart folk who are genuin and speak their mind like dill pickl fresh from the barrel and the smell of puppi mouth and the way the earth smell after it rain and the sound of fresh tune guitar like give massag as much as like get them like cocktail with big garnish and littl umbrella but also appreci well craft beer or rum or bourbon ve notic usual am exceed the post speed limit by about 10 mph on ani given day own about an equal amount of book and movi the onli sport will to watch on tv is soccer prefer in spanish even tho cannot understand the call and will alway root for brazil there stori there get distract by shini thing and blinki light like pumpkin curri with brown rice for lunch and sushi almost anytim can be littl quiet at first but don let that fool you can also be razor sharp in both wit and percept sincer and good listen comfort with silenc but can talk all night long over good bottl of wine like trade life stori east coaster by birth west coaster by choic work in progress don believ we should ever stop learn or grow tend to think in both philosoph and concret term bit contradictori if life stage then backstag make sure everyth run smooth have mani talent and an odd sens of humor in realiti take care of the sick and the die tri to steer those can toward path of better health peopl are veri stubborn anim the work help me see the way we re all connect
463,hi all just qualifi for the north american bike polo championship in milwauke 8th juli as the oldest player and as the lowest rank team outa 48 come in at dfl feck stoke team name is karmaggedon make shirt today they are buddist monk orang with big blue mushroom cloud on them blue and orang are san francisco bike polo club colour sinc becam presid year and half ago the onli person in our club qualifi but with the rule my team mate from austin texa gray 18 agre to have creami 24 from sf on our team am also on the stream team as comment for the whole event my handl is machin we as group of 10 dedic player and technic wizard exclud me of cours shall be stream the whole tournament live to the world on bikepolo tv and archiv it for bikepolo tv check out bikepolo tv for sampl of what is in store for viewer ll let you know on the 6th what time ll be play my first match will like have game the first day the second with the hope of get top 24 for the final day of doubl elimin pleas forward this to anyon you think might give feck coz aint got facebook or mani contact info machin am from edinburgh finish univers and went for week holiday from which didn return for year dure which time visit everi contin except antarctica live in germani australia and new zealand travel extens through asia and europ then move to san francisco where have been have blast for 13 year just start check out the state this year and am have fantast time do so my day are alway full of life have load to add but would rather talk than type
472,what would match for me be like? given that what look for reveal great deal about me and qualiti that valu or at least attempt to cultiv in myself let talk about you you re man comfort in his own skin who oper from place of authent act get old but you are more interest than ani facad you re adapt and flexibl yet appli strong sens of integr to your interperson relationship you understand that communic is key to mutual understand and hang in there even when there is conflict you ve got your life togeth but aren afraid to make some shift for the right person you re open to the possibl of relationship note if you are look for someth not in the context of relationship think the search tool on this site can help you locat that it isn here you re emot matur but youth in outlook danc music paint cook you enjoy your creativ outlet you re curious about the world abl to entertain lot of idea cosmolog and theori without need to proselyt most peopl walk around with their mind all made up but for you on some issu the juri is still out you consid yourself intellig educ respect consider of other feel man with good boundari who can articul what they are you know how to have fun laugh and step out littl beyond your comfort zone in the spirit of adventur you re great storytel love entertain and be entertain you are resolv with your past you would not spend our first date or first few date tell me all about your ex wife her vocat favorit cuisin etc yes that should seem obvious but you be surpris we ve all been there but with you your ex is emot histori and not current event if most of the abov reson with you and you ve been read this nod yep sound like me then like to hear from you btw eva is an alia just like the name
493,thank for check out my profil realiz that the averag attent span on this site is probabl less than minut just enough time to click on the photo so ll tri to keep it brief here littl about me love to laugh and have good sens of humor athlet spirit intellig loyal honest fun love romant and passion self confid but not arrog believ in do the right thing and tri to practic it in my daili life enjoy dine out in all the uniqu local restaur weekend getaway watch indi foreign movi go to play museum art exhibit and small venu concert also enjoy just chill at home have good meal or read the sunday ny time prefer in bed stay fit by work out coupl time week includ bike to work it onli 20 min bike ride to work so it not as hardcor as it sound enjoy most outdoor sport includ hike golf bike tenni beginn ski snowboard and windsurf ve travel extens throughout europ and asia recent intern vacat have been to israel argentina franc and have live in tokyo 3yr and new york citi 2yr live in tokyo and new york were great experi but definit prefer the qualiti of life in california have my own invest manag firm and ve work hard to creat healthi balanc between my work and person life live happi fulfil life with mani good friend and famili and it would be great to share mani of life wonder experi with someon special what look for woman who is balanc and ground someon who is fit enjoy outdoor activ go to movi concert weekend getaway and is will to experi new thing and like to travel someon who valu famili is passion love loyal honest and is abl to communic effect someon who isn self absorb understand compromis and can fill my heart with laughter and love! extra bonus point if you alreadi have children and or dog cat if ani of this reson with you drop me line have great day!
501,half scienc nerd half artsi fartsi and half amaz and that all you realli need to know howev if you like to know littl more and can read between the line pleas feel free to do so this rule appli for all subsequ section where applic cannot do fraction yet eon ago went to space camp howev spent most of my misspent youth as musician compos on occas still indulg this passion of mine but more as hobbi former point guard and former competit swimmer basketbal was and still is fun but for the life of me don know what compel me to train two day between the black line think about it now make me want to vomit nowaday onli swim for fun and main in lake and pond prefer on hot humid starri night in new england although am no longer in new england just move to sf do find plenti of other way to enjoy the outdoor and or stay fit these outlet includ basketbal footbal tenni golf bike ski snowboard hike muay thai and aikido just got rid of my car* and now bike everywher it is strang liberating! ve travel few contin not alway by bike and hope to travers few more in depth am happi and high product slacker in jocular earnest here come the hackney clich wait for it wait for it work hard and play harder! blah blah blah *note unfortun and fortun still get around quit bit by zipcar and plane and of cours public transit sometim train boat hors and gasp! my own barefeet
579,look for one great guy and that just how your friend describ you kind generous and thought someon they can count on they respect your integr and your commit to person growth they also say that you have good sens of humor and great smile! my friend use similar word to describ me more and more feel deepli content with so grate for simpl thing time with friend dinner with my adult son when his band isn tour walk on beauti day love the communiti of peopl at my church at my gym these are the connect that matter most they help keep me physic fit and spiritu recharg also curious love to learnthrough travel adventur everi year or two at machu picchu dizzi with the beauti and grandeur of the mountain danc argentin tango in istanbul or stanford continu studi class such as histori of the blue big mama thornton belt out you ain nothin but hound dog on saturday afternoon? what not to like? the scienc of the compassion mind or basebal 101 was wild about this class and not even sport fan was perhap the onli one to read everi word of histori 800 page assign to particip for stanford trip to india couldn help it was fascin mani happi hour of internet research also preced energi upgrad on my cute new old hous in addit to our differ interest the spice of life hope you and can share common passion movi or play or books? someth that have yet to experi or even imagine? someth you introduc me to? the idea intrigu me
591,love peopl and life smile my great passion in life is danc my second passion is find way to awaken human to itself third passion is the beauti game aka footbal futbol fussbal calcio soccer etc play by beauti peopl all over this big beauti ball we call earth am the youngest of five children my parent brought us up to be interest and interest peopl my mother was my first best friend and taught me how to be friend along with mani other thing we remain good friend until she lost her third battl with cancer few year ago when was eleven my famili move from orang counti to marin counti and had intrast cultur shock which led to seri of epiphani this earli philosoph awaken creat veri intens non conformist who has never stop question everyth but never the less love to have fun learn is fun yes? and can alway find inner peac danc we are all co creator of our mutual realiti and now is the time to call out the all the bs we have co creat to date and begin co creat the world we realli want to live in mani are alreadi do this in their our own way we are on the verg of some veri great chang brother and sister now is not the time to hide and let other make decis for you everyon has someth to contribut larg and small mani do not even know it yet return to the mundan studi intern relat and econom at univers and then work as an electrician for two decad go figur have two colleg age daughter not mundan who love veri much also love to cook and prefer convers to consumpt [final for those who may find this inform import have not had bank account in year and stop file pay feder incom tax after the suprem court select bush resid in 2001 the ir stop harass me about four year ago btw feder incom tax on individu have alway been voluntari they just go to great length to make you think you are statutorili requir to fund their ever more corrupt mad be well and enjoy the day! the truth shall set us free love is the onli way forward
592,pretti down to earth and happi with my life and look for someon to share it with ve been around the countri and ventur out into the rest of the world but cali girl at heart love the peopl here the fantast food and the gorgeous sceneri origin from miami and have done number of thing in my life build guitar studi architectur and make go to school for jewelri and metal art ve alway enjoy good food but especi sinc ve move to the bay area ve been experi in the kitchen more this has land me in the organ food communiti must admit ve becom pretti spoil here especi in the last coupl year that ve been work at farmer market there alway someth yummi to eat or preserv for later in what littl free time have these day like to go explor the bay area wilder or just relax at home might be in the kitchen save produc from go bad jam mustard candi etc one of my favorit social activ is make dinner for friend famili not your typic girl intellig curious creativ sweet kind outgo relax happi friend drama free strong will passion honest loyal consider and mom like me realli like scienc design craft and sexi machin tool can be the gir girl dress nice with paint toe and lingeri and also the one who get in the mud to fix someth not afraid of catch spider or snake most snake anyway ll be the one to give you massag out of the blue and bake you your favorit cooki just becaus feel like it or becaus you ask me to like to touch and be touch and look for the sort of relationship where we can be comfort either out do someth or just cuddl in front of the tv
721,littl about me well let me start by say that am surround by wonder famili and friend have fantast and veri success career and my life has been fill with incred experi am an extrem well round person and live life to it fullest am fun care independ well educ intellig adventur emot stabl easi go happi down to earth driven woman and know what want out of life can laugh at myself and often do can roll with the punch have veri quick wit am veri approach and can talk with anyon if you are look for someon who suffer from mood swing and like to fill their life with drama and chao you will have to look elsewher you will not find it here life is too short to sweat the small stuff have veri divers set of interest and am alway up for explor the world tri new thing and take risk love great even of dinner and the theatr but also love day kick back at the ballpark love smoke good cigar with the guy but also love night out with the girl enjoy heli ski in new zealand scuba dive in croatia surf in hawaii and play golf well anywher realli but also enjoy just hang out at home with my famili and friend am look for real and long term relationship am look for someon who enhanc my life am look for someon who make me laugh more than alreadi do teach me about thing know noth about challeng me support and encourag me and someon who make everyth and everi day more enjoy partner on the flip side would hope the man in my life would be look for the same thing from me in addit to the abov am look for someon who has happi posit disposit who has strong moral and valu who is readi and look for long term relationship who valu the import of honesti and open communic who respect and support their partner and someon who is down to earth fun care and love bonus point if you believ that chivalri is not dead! if this sound like you pleas drop me line!
767,my vestigi adject from ok cupid profil past am independ opinion and happi general low key like to spend time in coffe shop to read or to get some work done prefer american coffe or espresso but will buy latt if they make artwork in the foam if you want to grab cup of coffe and talk polit or ani other controversi issu game there is noth enjoy more than good argument and respect those who have opinion over those who don whether they agre with me or not love book movi and even tv though work lot and don get as much time with them as like good literatur provid good ethic and life philosophi believ the we are at our best when we are like charact in book we struggl through fault and failur and onli occasion success that defin who we are and lead to new adventur desir life should imit good art and romanc for night or for year should be like it is in book and movi at least like it is in the good book and movi coffe and book asid need to get out have nag spirit of adventur ve been practic never say no attitud to trip to the outdoor or trip out in downtown oakland or san francisco enjoy bike run train for marathon now swim even in the bay and hike also like to go out danc though not super often as most just humili myself and of cours beer about my histori origin from buffalo ny and am bill fan at heart then spent five year in pittsburgh pa where earn my bachelor never say no to an interest opportun so ve spent summer in brazil and wyom and more then one summer in washington have never been across an ocean but look forward to it like take class bit too much and hope will find myself learn new materi for the rest of my life whether will be do that learn in univers is to be determin come from veri larg and veri close italian lebanes extend famili howev none of them live in the area so ve been creat new famili while here! look forward to make new group of friend in the bay area whom can reli on way to much
795,now that have pass the pictur phase littl about me am great date enjoy mainta healthi lifestyl physic and mental love my parent and the rest of my famili love to trail run not afraid of commit enjoy cook environment conscious can get passion and heat at time dure convers and at the same time be good listen brew my own beer support local artisan busi tri to travel as often as possibl optimist and happi with my life with idea that everi new person and new experi add to it come from good famili and hold those valu import comfort in my own skin confid clean respons with my money keep my friendship and valu close relationship volunt local and intern enjoy skinni dip in all form of water hot spring river lake the ocean make my coffe with french press it is daili experience! am somewhat of an old soul when it come to date believ in show woman how feel instead of just tell her have never cheat on partner and am not game player all the women on here that say they are hopeless romant well too believ in share creativ romanc characterist look for in woman are an optimist spirit believ in someth is confid in herself to voic what she is think know doubl edg sword has quirki sens of humor like to danc must love be outdoor more than indoor appreci good food will to tri new thing has good relationship with her famili know how to treat and take care of her partner in crime and be an equal in relationship how that for list? am not look to rush into relationship with all that said more than anyth els want to meet some great peopl to creat friendship and see if there is connect like everyon am look to find that spark which believ take time and think is worth wait for
835,it is hard to convey who you are and what is import to you in few short paragraph but here is my attempt my life has been fun ride so far had opportun to travel learn work on and do thing that interest me was born and brought up in cosmopolitan india calcutta in pleasant and love environ think exposur to divers in term of peopl cultur languag countri also help defin who we are especi our unconsci self consid myself fortun on both these front also valu compass it let me feel what the other person is feel talk about and understand their point of view have click with folk who share and valu some of these attribut with those basic taken care of believ sky is the limit in term of adventur and experi have veri few inhibit and am alway will to tri anyth new especi if it is crazi and off the beaten path like histori especi stori of ordinari folk do extraordinari thing itali especi the riviera tuscani and london are my favorit place to visit can never get tire of them am tenur academ in famous univers not veri far from san francisco in fact the academ job give me the flexibl to do fun thing whenev want to especi given that have excel student work hard and tri to have fun whenev possibl live in san francisco my hobbi are travel movi museum and write am member of the sf film societi and like go to their special screen preview workshop etc and occasion to booksmith in the haight to meet and hear writer like
898,is it too dorki to post yr tumblr? midwest girl boi genderqu dyke who live in the bay area and love it hella love to explor and go on adventures! love food buy grow cook or not cook and eat my favorit thing to do is to go hike with my amaz pit elli love be outsid the bay area is so fuck beautiful! also realli dig ride my bike go to the beach or just sit somewher awesom and shootingtheshit my ever expand contain garden make me hella happy! am into urban homestead and self suffici feel invest in my space and find heal through creat nourish involv home also love to go to art event show bookstor flea market farmer market craft fair etc also veri much into attend inspir challeng and nourish event read everi octavia butler book ever make my best attempt at diy decor and craft and appreci how fuck beauti the bay area is have been learn lot about the histori and life practic of buddhism which is realli teach me lot and help me to engag with the world in way that feel healthi the east bay medit center is an amaz communiti resourc also veri much enjoy talk about theori and polit particular interest in anyth from or have to do with similar topic such as queer theori derrick jensen ward churchil judith butler judith jack halberstam bell hook femin octavia butler anti racism eli clare dis abil theori radic environment social and environment justic anti capit gender gender gender and challeng narciss arrog that can stem from polit am especi interest in meet folk who are deepli concern about the state of the world but who also strive to find magic in the day to day the world is crazi place but find sens of communion and connect to the good stuff around us is veri import know this sound super woo woo but genuin enjoy be bit of kid and find wonder in the thing around me am queer dorki and passion be from hella work class background is an import part of my ident *mi attract lean heavili toward masculin present folk sometim feel like that not okay in the queer communiti two masculin present peopl togeth but it my sexual prefer and hella okay with that
