,Bios
39,love life! oh okcupid is tell me that three word isn enough ok then just move to the bay area in februari don know anyon here this is your chanc you can pretend to be the coolest kid in town and would not know ani better but to believ you! still not enough? fine more detail descript of me born to lead the armi of dark to ruinous victori gift with vast rang of abil for achiev that destini curs by the forc of good to be crippl by ethic honesti and compass the usual stori good triumph over evil foil again blah blah blah can read and write my name and have job and home and car and my teeth and can use an oscilloscop and can shower myself! you should also know that of all the peopl on recent publish 50 most loathsom peopl in the usa list not singl one of them is me your mom will be delight to hear this though you may feel littl bit insult by her poor hidden relief
40,am new to the san francisco bay area and look for new friend and peopl who would like to introduc me to their favorit place inglorion is yet anoth friend guy stuck in front of comput and like it! serious am comput programm both profesion and as hobbi so natur spend quit some time at my comput but there are so mani fun thing in life that this page couldn possibl contain them all just to name few like sail speak foreign languag cycl take walk parti and hug also spend some effort tri to make the world better place care for the environ conserv energi think about polit and anim right includ human right and by write open sourc softwar that anybodi is invit to use share and improv more about that on my websit alway look forward to make new friend and have fun togeth if you re up for that too don hesit to send me message! am humor consider and sometim passion note ve start over answer the match question this will take while
41,grew up in new york and san diego half and half and root for the knick met and jet and when they re not around cheat with the padr and charger prefer happi hour to last call use sound effect in my stori tell appreci complex and nuanc feel action speak louder than word the order is be it do it say it remain optimist in light of take your pick think play doh is one of the better scent out there tri to laugh as much as possibl which is easi becaus my friend are smart and funni to me at least usual tri not to start success sentenc with so if you want to recommend some edit feel free in colleg major in histori which is onli use for jeopardi and context ve been consist get dumber sinc asid from run and go to the gym pretend to play soccer coupl of time week sometim when punch in the url for this site the auto fill take me to okayplay com and end up with free music instead my life is fair easi in that love my career which make most everyth els simpl can just say that this site feel like one giant mexican standoff
43,don realli like summar myself but who doe right? seem like everi time tri come up with pile of contradict shi extrovert ground dreamer lazi adventur open mind but sometim stubborn citi person mountain man can be veri competit but tri to avoid competit veri social bit misanthrop general veri meticul often sort of careless have strong sens of self social chameleon have complet confid in myself to succeed at whatev do yet often terrifi of failur let other down lot of my best friend didn like me when they first met me but when they took the time to get to know they figur out that actual veri care entertain give honest loyal patient play open and stimul companion of cours other love me at first sight and never stop so mayb you should just see for yourself am clever creativ and complic
45,born in the philippin grew up in small town went to cal for colleg and made the bay area my home hella love it here the food cultur and peopl here are amazing! im new to this onlin date thing so here we go yelp everywher go enjoy tri new food support the local hole in the wall place to the michelin star restaur my favorit meal is breakfast becaus love bacon! follow by brunch which is close second becaus of bottomless mimosa like peopl watch love hear differ languag although onli speak two english and tagalog say three but it take me too long to put sentenc togeth in spanish understand good deal of it though want to travel the world someday ve onli been to few countri and want to add pin on map of place ve been to the music in the bay run through my vein bay area slap hyphi music just out here gig tryna function you don need tell me when to go becaus in the buildin in all serious though enjoy the local music becaus like the song say when you get the chanc to sit it out or danc choos dance! messag me if you want to go danc some time this also mean addict to guilti pleasur like america best danc crew so you think you can danc as well as mani other tv show anyway rambl on it hard to summar oneself if you want to know more read on or just ask suppos cheers!
46,1985 born varberg sweden 1986 knew how to say strawberri in swedish kind of 1987 my littl sister was born 1988 first hike vacat with my famili 1989 kiss my first girl behind sofa 1990 made my first good friend friend 1991 nervous first day at kindergarden 1992 star as the big goat in three billi goat gruff 1993 success was to have the best hockeycard which hadn 1994 watch sweden come third in the world cup soccer 1995 got mountainbik with 21 gear was so happi 1996 reciev veri honest love letter ever from my neighbour 1997 manag to make my first proper saus barnais 1998 spent the summer in boat fish with friend 1999 girl interest me but was coward 2000 through 9th grade 2001 move out from my parent place 2002 drank four beck fell in love got my heart broken 2003 captain for the junior nation volleybal team 2004 finish high school with confident! 2005 start studi engin realiz it was boring! 2006 made it to the nation team 2007 start design studi 2008 the second great love of my life 2009 drank wine and learn to speak french in pari 2010 bachelor in design 2011 fell in love with london get use to sf 2012 candid bought an old motorcycl without know how to ride it went ski just to get confirm how scare of height am fell in love with sf learn how to surf got my first design on the market froze to death in my room fix my motorcycl and made into beauti ride
57,grew up in iowa it get bad rap but let me be the first to tell youiowa is way cooler than you think after iowa went to school in pittsburgh now spend the summer in san francisco and live in soma the did you know guy alway research and analyz if know friend is work on project ll send them relev idea and articl come across howev my intellectu prowess doe not permeat to all aspect of my life my friend make fun of me for be an absent mind professor type give me hard problem and ll excel but move out of my apartment? it might as well be rocket scienc eek there alway room for improvement! love the sound of plane tire touch down in countri ve never visit japan is next on my list though visit germani or london again in heartbeat there more intuit side to my life too recent ve been enthusiast explor buddhism and medit pay attent to the space in between thing the more learn the less know it so refresh to be awash in the mysteri of the univers style is import to me all for express through cloth but draw the line at pajama as outerwear get it they re comfort but ya know just say
77,pretti sure all the question below this one summar me better then can here goe noth am semi typic 20 someth just finish up colleg and wonder what come next look forward to life outsid of school with determin but also trepid would love noth more than to move back to sf where stay for three year when start colleg 2005 like to just walk mean that just walk wherev in no particular direct with no destin in mind and ll do it until my feet have blister the size of quarter tri not to make habit of anyth am learn to play guitar tri to build up the confid to record my sing work at the craft center on campus at ucd sometim love to craft know how to make glass bead and pendant can screen print shirt sculpt with clay paint and draw have intent of learn alot of thing includ but not limit to sew my own cloth weld and blacksmith fire danc how to walk on stilt aerial silk and ballroom danc like to work on my car it 1995 bmw and is in constant need of tinker she my babi am affection fun love and happi
82,move to sf ~7 month ago and so far realli like it but look to grow my circl of friend and hit it off with cute girl along the way is even better my latest interest is rock climb ve been go 3x week to planet granit and have blast so perhap good way to meet if you al climb is just to be tr belay partner origin from the chicago area which is still where my veri small famili live but for the last year enjoy the beach mountain and desert in san diego an adventur by heart and alway seek someth out of the ordinari to challeng me to spark my imagin or simpli surpris me when least expect it my ideal girl would do the same ve travel to mani place in the world but there still ton left for me to see and major goal is to find girl that share this travel bug with me at some point in the next few year love to quit my job to travel for ~1yr with girl love and then return to the normal us life career with both our live enrich
85,like everyon els on this site feel awkward tri to sum myself up in box for the sake of stranger on the internet now that we ve got that out of the way was born in calgari spent most of my childhood around the area and came out to sunni california for school am funni loyal patient cynic laid back dreamer someth of hopeless romant big believ in find the humor in everyday life and compuls crack wise about the ridicul thing see in advertis polit restaur menus etc and also squirrel squirrel get up to some funni shit love to read and can easili spend hour in good bookstor huge cinephil and in the right mood can enjoy bad movi everi bit as much as good one see my aforement enjoy of the ridicul fan of hug and backrub give or get strong support women right and gay right and all other form of social equal if you don we might not get along so well just sayin love music but also appreci good stretch of silenc everi now and then love collect inform about how thing work and can happili geek out over some obscur facet of biolog physic psycholog histori or anthropolog enjoy the outdoor even though don get out as often as like to especi foresti area there someth comfort about tree don believ in astrolog which mean have no explan for whi almost everyth read about scorpio match me dead on
95,new to sf from boston and thought this might be good way to meet some new peopl instead of write about me think it would be better if told you what am look for while am alway down to meet new friend know what want in girl and don want to wast your time you enjoy order someth differ everytim you go out to restaur and speak of restaur offer to split the check on the first date tell lot more about person than someon who assum it taken care of even though will never let you do that am tall like tall girl to is the sexi sweet zone if you can ski or snowboard and know what state jackson hole is in you pretti much beat everyon out ll date non skier but don expect me to hang out with you on powder day adventur are fun but so is be lazi like do new thing just not all the time my mother taught me how to cook which she is great at will at some point make you cook with me it ok if you don know how it not ok if you don tri dr pepper is the best soda don hate if you cannot appreci own gym membership is good thing no hide secret talent if you can do amaz thing want to see it peopl who use the number instead of the are stupid and most import you are not dateabl if you sleep with someon on the first night
100,friend suggest tri out this onlin thing just to see what it like will let you know feel total weird do this and it even feel bit creepi but what the hell it 2012 right? ok here goe grew up humbl countri boy in the roll field of central massachusett ride my bike and play in the wood went to umass amherst then move to boston where was landscap architect and park planner for the nation park servic left that dream job to becom full time musician drum and bandlead for few year left that dream job to move to sf got my teach credenti at univers of san francisco and am wrap up my master there current teach high school scienc at public charter here in san francisco and love it anoth dream job within those year are innumer adventur countless friend lost love hit and miss and mani proverbi roller coaster ride but can tell you more about that if we ever meet
101,from san diego to the bay six year ago gave up the sun the beach and the mexican food for the fog the cold beach and burrito with rice and bean wrap in foil which am still get use to okay farolito is pretti damn good still have that hakuna matata mental never sweat the small stuff brah not veri serious person unless need to be joke and laugh lot and peopl think alway happi go lucki in realiti extrem depress on six type of mental medic and have servic anim for companionship just kid see told you would like to think of myself as an extrem patient and calm person find sens of accomplish in be abl to balanc those who aren don believ in the art of profil make and think meet someon in person is the onli way to go we re not all salespeopl and glad
104,am an energet extrovert cheer and happi almost all of the time with good dose of east coast snarky thrown in have lot of genuin enthusiasm about lot of thing pack big punch for such littl person thrive on meet new peopl and experienc new thing but also at time seek comfort in the familiar to recharg an open person counter to my wasp pedigre am good at communic when want to be and and it is import to me to cultiv open in relationship as well am equal at home in the citi as am in the wood and need healthi balanc of both to surviv citi conveni that most reli on includ good coffe microbrew ethnic food and you know cultur but also need to step outsid and leav my iphon behind for extend period of time to rememb what truli matter from the northeast main and frequent contempl return to that corner of the world to live at some point total love it here who doe not?! but there just certain pull to the pine forest and roll green mountain and granit coastlin of my home state that don think ll abl to ignor forev am summer camp kid love to climb drive station wagon for adventur and ride my bike the rest of the time can ski like banshe want to someday grow some of my own food specif concord grape
106,glass half full kind of girl am emot wire to be veri logic and abhor drama etern curious and work in left brain thing but enjoy right brain activ much more draw or creat thing over analyz everyth so almost never regret my action alway have point of view but onli share with those who can agre to disagre love food it prepar present tast cultur histori love wind snow and water whip across my face watch cnn and read the ny time more than the local news love thought provok form of art and express prefer to be direct the east coast influenc suppos you can ask me anyth and will give you direct answer don play game except the occasion board or video type but due to lot of corpor feedback earli adulthood on capitol hill and friend worldwid ve learn to be much more circumspect about how my word action will be perceiv although when my team is be attack repeat all bet are off control my temper and extrem diplomaci are learn skill so remain constant vigil am mix of cultur have been born into one rais in anoth and sought other in adulthood the older of and have niec whom ador work to live well exercis so that can indulg need quiet time to recharg but have larg circl of friend relat worldwid with whom ve kept in touch for decad tri to live like the song hope you danc and the poem instant by borg
113,hey angel here littl about myself am born an rais californian whoo been in the bay area for while now bit of tomboy love video game footbal go niner hike that kinda stuff got to love the earth so tri to stay conscious about how effect the world and other peopl in it into polit too although dont know bunch about them but tri to learn more proud obama support and democrat of cours fan of natur music fish bicycl movi art good book kid stuff and find new thing to get into goin to school to becom chef love everyth about food so it was given for me not what you say relig so into men with mind for discov other thing ve found that need guy that is spiritu or it not realli good match work on goal right now just move to san francisco and get into school happi person down to earth and have great sens of humor just tri to find guy that can handl me an intellectu and veri open mind into guy who have sens home train and know how to treat ladi like men that like to look nice and has mind happi hunt
119,current in mono relationship love have fun with friend outsid at the park at loung wherev there are fun peopl want to go to there this is my clich for today accord to my gps am in the middl of an ocean but my heart will find the way becaus not lost and know exact where go have vast amount of interest love art live for travel scuba ski snowboard poor love music festiv burn man read current book day or equival scienc poetri use to do spoken word show love have dinner parti recent got in to slacklin am interest in sustain recent work on communiti base research project examin if free green retrofit are lead to greener lifestyl mix bag adapt to situat easili and will usual find common languag with peopl from all walk of life origin from poland and also live in berlin as child am fun love be social have dri and sarcast sens of humor at the same time am sweet and nurtur and in my privat time spend quit bit of time introvert have veri differ and uniqu relationship with almost everi person in my life dont believ in be generic growth is extrem import to me am alway develop reinvent and improv my self look for the same in partner
127,am part geek part silli part ridicul guy alway open to meet new peopl and see if we click the geek in me is alway game for an intellectu stimul convers consid myself sapiosexu and if you are the same then we ll certain get along! definit somewhat silli am guilti of be that person make ridicul express in pictur which then desper tri to scrub from facebook as for the ridicul part like to tri out complet new thing not in my comfort zone bonus point if it trigger the adrenalin junki in me would love to tri someth new if you have someth in mind am furthermor an engin by profess spent my childhood tinker with and break thing somehow turn that into career 100% bay area product grew up in san jose went to school in berkeley go bears! and now in san francisco somewher between an entp and an intp hardcor car person not just the averag guy who drive aggress but someon who spend mani weekend at racetrack secret dream of one day do it profession other hobbi that ve pick up photographi cycl foodi ing and fashion becom quit the yuppi decent athlet though slight slower than use to be at swim argh! am optimist competit and stubborn
131,sold everyth that wouldn fit in my car and bid adieu to the sprawl corn field of the midwest trade them in for the mysteri of the unknown not on here look for love at first sight or my futur babi daddi just want to meet few genuin like mind individu to meet up with for beer show some peopl watch whatev on romant note hopeless attract to inspir creativ adventur black men and have been for over decad if this sound like you hit me up! *updat appar sometim you find the thing in this world you re least expect met someon on this site over year ago and he is my futur babi daddi weird not realli look for anyth right now but if you re realli into pregnant chick with boyfriend then suppos cannot fault you for tri
141,hello my name is mike am nativ san franciscan of scandinavain german descent who is self employ and home owner divorc year consid myself well adjust person who is easi to be with and dosen sweat the small stuff and tri keep the big pictur in mind like to laugh bit sarcaust at time and enjoy new thing and peopl who are interest love the outdoor golf is passion good food play music npr pbs flim of substanc strech sleep and look to do more travel particular the would like to have second home in western somona new mexicon mayb utah want to meet person who is stabl in her career comfort with herself optimist easi go with intellect and fun love love to make woman smile
145,just move to sf from cincinnati was teach at privat high school in cinci but am now work at start up in redwood citi pretti easi go guy and enjoy the simpl pleasur in life watch footbal game go bills! while drink beer stay up late discuss noth in particular eat an ice cream sunda on warm summer day etc like to think and have my opinion challeng be abl to have polit and religi discuss debat is import to me that be said will also crack numer bad charli sheen pun you know the man who did enough coke to kill two and half men banter on the hilar of bro cultur and rant about how pari hilton rise to fame signifi the declin of western civil am open mind honest and self awar
150,eager for some silli fun laugh find out how the other half live recent divorc veri amic and experienc some welcom relief at the prospect of meet peopl like me have had alt fantasi throughout my adult life that have bare act on in my day to day life am teacher love what do and approach the challeng and peopl in my life with passion and intens am resourc and eager to find the mean sensual and the funni in all that do life is too short for anyth els run and stay fit am attract think and will be happi to share pictur upon request my ideal person someon my age or close who is trustworthi decent modest fair and intellig twist this person should be well educ domin attract fit and have good sens of humor this is ask great deal but am into it and would be give great deal give receiv give receiv give receiv give receiv give receiv
152,note as of 29 am on the other side of the world for coupl week well it seem that after 13 year am back to singl life my long term albeit somewhat open relationship status has chang me consid myself creativ an artist yet someon who use both lobe origin from the midwest move here 25 year ago and found my home and peopl work in anim and model for mani year but prefer my art tangibl make sculptur big sculptur most metal these day tend to think about food in term of color like the way sound look and feel enjoy life and valu spontan am gregari tangenti silli analyt and inspir burner burningman sinc the man last stood on the ground 95 valu creativ and inspir music and scienc sensual and fun am an entp and accord to mindtim phenomenolog approach to thought futur thinker rather than past or present thinker
155,it is terribl to have to ask for anyth ever we wish we were someth that need noth like paint but even paint need repaint miranda juli these thing alway seem to put so much pressur on realli narrow yourself down to particular way it realli make you think about how you view yourself how you want other to view you you cross your finger hope that they are the same feel like am veri easi go person but that doe not mean don know what want think read in bed is sexi so is humil charm awkward like to think that am veri deep person who think lot about lot of thing love peopl learn ani kind of new skill read all the time love librari the smell of book also like art live show queer open mic nerdi funni girl who can match my clever honest loyal creativ awkward in charm way like when life hand me iron situat keep thing interest oh like to laugh lot who doe not? also hate peopl who do not know that lot is word pet peev am super social love to peopl watch ve never known stranger am notori for start random convers with random peopl in random place am logic romant
163,basic fun nice funni chick who love explor hang out get into and out of troubl with friend write read garden tenni guitar stimul convers pet plant cook eat and listen to live music my last sever trip have includ nepal peru kenya iran spain lebanon uk turkey iran taiwan ecuador and beliz late dig explor the bay area lake berryessa healdsburg inver gualala and littl unknown part of the citi find out that you don need to go far to have an adventur and love that feel have full and fun life and while comfort be alon absolut ador be in connect relationship love long stimul convers fabul meal physic intimaci road trip romanc and just all around fun teas joke laugh with my partner attract to guy who are open mind fun smart in real world way formal educ doe not matter so much happi care and have an optimist outlook on life and the world lot of us have been through rough stuff it how you let that shape you and what you choos to do with it move forward that matter
172,am look for mutual fulfil fun relationship with long term potenti becaus am partner in our ventur capit fund have some flexibl in my hour allow time for person travel have three great son who are now in colleg east coast work in startup bay area and work in multin firm russia get along with each of them veri well occasion they even call to ask for advic admit that my one on one basketbal game with each of them chang charact dramat when they grew from say to where all three end up it is serious problem to give away inch in height and three decad in age in basketbal game although rare beat ani of them anymor do give them workout more import it encourag convers that may not necessarili occur in other set result in my do better job as father my golf game has improv over the last coupl of year and can see path to it get even better it is not easi to predict the qualiti good match for me would have but it great if you are outgo authent and activ like children so if you have kid that is posit in my view enjoy spend time with my son when they visit veri import but hard to character criteria may best be describ as mutual chemistri meet for coffe is probabl need to see how that work out for both side can see take you to movi hike or otherwis exercis togeth go danc tri out local restaur for dinner go to concert take weekend trip to varieti of destin and also just relax my photo are veri accur all were taken within the last two year except for the photo with two of my son and my dad which was taken in 2008
173,love peopl who make me laugh honest think it the thing like most to laugh it cure multitud of ill it probabl the most import thing in person audrey hepburn said that and that pretti much sum it up but ll write more becaus this is about me and not audrey hepburn was born in la went to colleg in santa cruz and have live in the citi for six year now and it the longest ve ever live anywher work in tall skyscrap edit onlin news by day which tend to drive me to more creativ pursuit in my off hour comedi and music nerd and my favorit festiv right now are the pickathon and the sf sketch fest the onli thing that ve had fanat obsess with is twin peak have actual been to the great northern met the one arm man and eaten the cherri pie recent obsess get juic as in take advantag of my housem newli acquir juicer to get what she has dub hot beet inject befor that was drink way too much fanci coffe from sightglass and bluebottl and becam nervous wreck throughout the morn save that for the weekend now when wanna get real crazi in general say fair independ person and not prone to serial monogami but sinc not go anywher in the forese futur it would be nice to have someon to take weekend trip with and share all the excit have for said nerd ism or just stay in with and help me watch more of the criterion collect
177,you might be wonder whi my profil name is such that it is well love burrito all kind of burrito cheesi lamb fill veal fill duck fill whatev don care just give me god damn burrito serious though love food onli when it in my mouth don like cook what wast of time so if you like cook and eat you re the gal for me now let me tell you what hate vegetarian and vegan that what she might be the hottest thing sinc marilyn monro on cow but if she would not put said cow in her mouth after it is proper cook of cours then she can ride said cow into said sunset so how do make my money you might be wonder to pay for all this tasti tasti food?? one word mural googl that shit if you don know what it is actual if you don know stop read this immedi and find some yourself joe shmoe becaus ain no joe shmoe so paint mural where do you need mural? your bedroom public bathroom church the insid of your dog house? no problem ll paint it went to school for zoo keep zoolog for you fanci folk out there but end up paint mural what can say when muhammad give you gift you gotta run with it thank muhammad thank whole hell of lot now onto the thing like to do for fun this is the paragraph where suppos to tell you about all the obscur music and movi that neither you nor have never heard of so let skip that bullshit and cut right to the chase like to eat food drink beer and listen to realli popular music that everyon know everi now and then like to watch movi or film for all of you uptight hipster that don want to meet anyway also think my littl poni is great way to pass time on saturday afternoon the end
185,fall into the smart is sexi categori of women ve got my act togeth great hous great kid great friend great job and have done my laundri consist over the year grew up on the east coast and am drawn to smart music creativ thought peopl with big heart have wonder friend meaning career and adopt my five year old daughter from ethiopia two year ago and just love be her mom she the best thing that has ever happen to me grow veggi in my backyard enjoy tinker at art hous project and get out for hike or explor differ restaur and music venu
194,born and rais in rural missouri and educ in boston and baltimor love both open space and urban place don speak with twang anymor except when go back home it not intent swear have an unusu high toler perhap even an appreci for countri music but my itun collect span the music spectrum am polit liber and my high school classmat fb post sometim make me cring but understand they are good peopl too am huge fan of rei but avoid shop at wal mart have seen what it can do to small town economi and while prefer to take my subaru down dirt road ve learn to love the challeng of squeez it into the onli avail parallel park space move to the bay area nine year ago to start my first real job if you don count my high school summer as grill boy at mcdonald when not mentor graduat student in the lab or teach them in the classroom enjoy the outdoorshik bike fli fish ski or just hang out with my dog love watch film go to concert or play keep fit by run road race sixteen half marathon so far enjoy good food wine and cherish good convers tri to read as much as can though sometim those best intent can be limit to quick excurs through the new yorker and whatev is on display in the groceri store aisl and now that ve been hand down my sister roland ve been brush up my piano play also like to cook for other not especi for myself
197,good friend of mine actual wrote this hate write about myself what can say way more interest in other peopl would rather talk about you! am happi with my life enjoy my job travel everi chanc get have an amaz famili in boston so they would not be barg in unexpect lucki aunt to niec nephew who would do absolut anyth for thank for incred friend who love me for all my fault not that have too mani idiosyncrasi in the last week have travel to beliz martha vineyard tx hi tn in my friend teas me that am georg clooney from up in the air it true valu my mile my passport more than ani other possess activesocc spin scuba dive take walksyou name it one of those peopl who get up 30am to workout even when travel and hangov but it nice when the instructor know to expect you save you bike! if have an addict problem it definit to endorphin and red wine too love do long citi hike and explor new restaur hot spot and rather passion about real estat enjoy sunday open hous just for fun cannot explain it! but if you re look for compani to go hous hunt definit your girl love to keep busi but enjoy my quiet time too look for partner in crime will challeng you and make you laugh all at the same time about to book my next flight are you in?
