,Bios
16,"i just moved to the bay area from austin, tx (originally from louisiana). i do audio programming for video games, and just started at a game studio out here. yes, i am a bit of a nerdy programmer, but i don't have it stamped across my forehead - i don't even really play video games all that often. i actually create/play music way more often in my spare time.  i'm starting a new life here in ca and really excited about it. i only knew one person in this area when i moved here, but i wasn't worried - i always make friends pretty quickly. in every city i've lived, i've made at least a few life-long friends. i'm definitely looking to do the same thing here.  i'm a very easy to get along with kind of person. i always try to avoid over-complication. i have no time for bullshit, and i would expect the same from anyone i'm close to and/or respect.  i'm very much into doing things outside and living a healthy/fit lifestyle. i'm really looking forward to doing some camping, backpacking, biking, etc in ca. i also really enjoy going out for a nice meal and some tasty cocktails or beer, or doing the music nightlife thing. i dj (drum n bass) from time to time, and i've already landed a few gigs in the bay area. i'm very much involved in dnb and other electronic genres, but i love live music just as much.  basically ... life, to me, is about working hard and playing hard. i've made a lot of sacrifices and invested much effort to get myself into an industry where those two can often overlap, which is something i'm fairly proud of myself for. i've learned a lot of cool stuff so far and i plan to continue doing that. i'm pretty excited to see where that will take me :d"
17,"to sum myself in whole: i have adventurous tendencies with a somewhat vulgar flare (i hope you can take a joke-offensive or not).  i'm a constant seeker of discovering something new, whether it be a different restaurant, culture, or music (anything really). i tend to have an eclectic personality.  i volunteer and participate with a lot of activities with my community. i also tend to seek those who have a story, any story. i'm all ears! i want to learn from you, hear what you have to say, and relate it to my own personal experience.  i'm a bit of a nerd and like to watch the history, military, and discovery channel. something about militaristic strategies intrigue me.  i'm a bit of a tom boy, so i indulge in shooting guns, playing video games, and working out consistently. i also have the guilty pleasure of watching ridiculous comedy (family guy, curb your enthusiasm, it's always sunny ...just to name a few)"
18,"some of my favorite things: riding my motorcycle on curvy roads curling up with the next book in the series finding great photographs building things joking around with my friends, finding funny moments the stars windy days living near the beach love and compassion music cooking dinner with a friend  sometimes i'll take a different route, just to see where it goes.  my photos are available on facebook, for a peak of some of those unguarded moments :p"
19,"i relocated to san francisco half a year ago. that was an awesome few months that let me explore the diverse parts of the city, find a gorgeous victorian house to live in, meet my awesome roommates who became my best friends, find my first american emotional soul-mates, ride hot european wheels on the hilly streets of san francisco and the winding road to stinson beach, swim in the freezing waters of the bay, walk the ocean beach at full moon on warm, starry nights, experience the great outdoors hiking and cross-country skiing, fall in love with the local diversity and openness, abundance of cuisine, and embracement of active lifestyle.  this is the most awesome city to live in, and one where you can loose yourself in a continuous chase of newelties and adventure. and the people around will only support you in that amazing run for new experiences. having been absorbing this atmosphere for the past six months, i'm finally revelling in the clamness that i find inside me once again. like you, maybe, and so many bright people here, i've come to embrace this city as home. and i'm beginning to stabilize and live a well paced life, with time for personal and professional growth, fun with close friends, sports that keep the balance of my body and mind, and with the time to ponder and reflect on my way through life."
20,"i grew up in a small town in the midwest and have moved around a lot over the last few years, last stop was chicago before calling sf home. i've been here for 2 years now and love the city....the people, the food, the randomness, and the endless to-dos.  i've always said i would try anything once, so giving this a shot and see what happens...."
21,"my name is ashley and i live in san francisco. i love to dance, speak spanish, smile, and enjoy life! :)"
22,"i tend to think the same way a comedian does about nearly everything and i laugh more than any other particular activity. adventures are a key ingredient to my happiness, whether it be a new restaurant, hike, or sport i'm usually forging ahead toward something new. you coming?"
23,"here's a completely fake summary i wrote while feeling coy: i like nature. you know like plants, sticks, stuff like that. if i like a girl, i'll do special things for her. like, i might wear a do-rag or maybe spray paint her car, little things. if i'm really crushin' on a girl, i'll light some incense, put on my fancy robe, and sing her kid rock songs while i cook us some hamburger helper.  ok, for real now: i'm a bit clumsy, but i'm an expert at silly dancing. i grew up in a ghost town and i like living simply. i enjoy subtlety, creativity, nostalgia, and quaint old-fashioned things. i make mistakes, but i always try to do the right thing. i am not a rich man, but i've got a heart of gold.  i am honest, good-natured, and the bee's knees"
24,"bay area transplant six years or so now, straight outta tennessee, play sum musick ,make sum things,, goes to some shows, prefers personal interaction to social interaction, .... but like to go out alot, ,, everybody shuld stop and smell the roses at the same time and then lets see what wuld happen, ..... i swear i'm not really a bad speller, just have a unique method of typing, .... don't have a car but a really good driver, .. think i'm generally pretty pleasant person to hang with but i dunno you tell me, ..... like to ride my bike really slowly,, i don't have a helmet, people think i look like 'weezer' all of them i guess? but i don't really see the resemblance"
25,"hey to all, hope all is well and your having a great summer! i've been in denver and won't be back till the 12th or so. talk to you then.  i am currently work as a graphic designer focused on marketing and advertising. i graduated from the university of colorado at boulder class of '07. i am humble, energetic, willing, optimistic, honest and have a lot of gratitude. i live for today and in the moment and that is important to me. i believe in succcess without stepping on toes. i am positive and strive to be the best i can be.positivity and humor are key for me...laughter is my specialty.  i am looking to meet new friends and possibly something more. i have no expectations, but keep my eyes open for that special girl to see where it goes.  i consider myself to be a gentleman, but a child at heart with a lot of energy! i don't mean in an immature way, just a lot of fun and down to do anything. i was raised in a good family. i have been lucky enough to travel around the world and plan on keeping that up.  i enjoy japanese culture, oahu's beautiful oceans (north shore- waimea bay, pipeline, kailua, makapu, sandy's), music!!!, having my dog by my side, staying in and watching movies, dating sweethearts, my ipad and iphone, dining, traveling, snowboarding, fly fishing, camping, watching pro sports, aimlessly running around the city, watching movies in bed, taking you to the driving range, surfing with my older brother, cycling, going to shows in the city and going out with friends."
26,"full-time student, full-time square. i change from year to year. used to love computer games, and drinking, but am finding i hate them more as time passes. don't get me wrong. i still enjoy a night out every other month and a lazy saturday with my computer now and again. my obsession of the moment include long drives at night after work and hitting the gym. on the weekends i like to sit and home and prepare for the week ahead."
27,"i suck at these things, but here it goes. i'm a laid back guy that likes to just have fun. i'm currently working full time at a retail job as management, not the best job out there, but i enjoy it. i love to be outdoors any chance i get, whether it be hiking, going to a park, or just going to a theme park."
28,"i moved here recently and love this place. i'm a half-urban, half-mountain guy, devoted to the walkable/bikeable/transit-rideable city, and to getting out in the wilderness to remember that it exists. i love this progressive free-thinking city, where people are active and politically active and whimsical. and where i hear people speaking a dozen languages every time i get coffee/get on bart/go anywhere.  so far, i've been a biologist, a science teacher, a traveler, an outdoor adventure guide, and a couple other things. i'll stay the teaching route for the moment while i figure out my path in to working on some kind of sustainability policy or work for ensuring accurate science education.  i laugh out loud.  i'm a balance of things: intellectual and active and creative. i'll geek out over a scientific journal, then go do some work on a sculpture or painting. days need some active time: riding bikes, walking places, helping out friends or friends-of-friends with moving or fixing things (i genuinely love this; i need something useful to do with my hands). i stay in shape and care about being fit so i can be healthy and strong enough to do the things i like to do.  i'm fun, driven, bright, grounded, comfortable with myself. i hope you are too. also, i'm grown up, you know? i'm emotionally available and mentally healthy. i don't play hot and cold games or try too hard to charm you / get obsessive / chase you when you're a little out of reach. i'll respect you as my equal. i have two little sisters so i'm well aware a lot of men play the charmer/politician act, and also keep a collection of women on strings. as i told my sobbing, heartbroken littlest sis at christmas, those dudes are what they are, and they're not gonna change. and i don't want to be them.  basically, i'm happy to be out here. it feels like there's so much to explore and i'd love to explore it with someone smart and energetic who's been here maybe over a year and can show me around. outdoorsy would be great, but it isn't a requirement for dating. be extremely passionate and driven about something you care about, that's all."
29,"i'm told i can get along with anyone - a product of growing up in small town minnesota where if i had talked only to people that i related with i'd have gone through my days mostly mute (half kidding)  i can fall asleep anywhere any time. it's a gift. i'm like a puppy  may i never be too old for impromptu living room dance parties  a warm sf night is one of my favorite things. it makes me feel like i've just stolen something from nature and gotten away with it  i'm offended by the rubiks cube  never been good at one night stands  love to read, write and make music. i have to deliberately set time aside for the more quiet and thoughtful pursuits because these city lights can be...so shiny. i'm a social creature. i like being around people  self deprecating humor will get you everywhere with me  it is difficult to get the news from poetry but people die miserably everyday for lack of what is found there - william carlos williams  i consider myself an ""actor"" but haven't done it for a while. i also performed in an improv troupe for several years. i've let that part of myself be taken over by the 9 to 5. i resolve to get it back  i enjoy fashion and aesthetics but they intimidate me like crazy. really i'm just on this site to find someone who can keep me from wearing holiday sweaters  big ol' npr fan. this american life! forgetaboutit  mood lighting, johnny walker on the rocks and good company are all i want for my birthday. the day after, however, i want to pack a picnic and drive up the coast  i'm a mean tennis player, as in, i'm pretty good, not really mean"
30,"iiiiiiiiiiiiiiiiii.... i hate talking about myself. i just moved to sf from austin. i'm reinventing. i spend my time finding thrills with good company, or solo. i party less than i used to....my greatest ambition is to make the most of my life, gaining as much knowledge, wisdom, and experience as i can. i believe that happiness requires nothing more than a positive attitude. i like to be excited/scared. all things music... water... reading, absorbing, maturing, daydreaming, enjoying, indulging.. less.. and am always laughing to myself. traveling is big in my to-do lists. is this an interview? i'm over it. youll have to excuse my lack of on okcupid. real life is mo betta."
31,"to life, love and loot  i like smart, funny, and strong woman. i have been called picky. i think its a consequence of being honest.  i'm a boston convert. i've been in sf for 3 years and have explored as much as i can, but theres plenty of more to do.  my life plan: (1) bust my ass creating a company (2) sell it or ipo (3) take mini-retirements around the world (4) use my time exactly how i want... travel, create more companies, invest or something i haven't thought of yet"
32,"much more to add, but this is a start...  i am a mixture of silliness and seriousness, but the most important thing to me is genuineness! i don't believe in always taking life seriously as there is much to laugh at in our daily rat race! i've been told by many that i have a very adaptable personality so i can mesh with many types of people... also that they find it's almost impossible to have a ""surface"" conversation with me.  i like to make things fun. ""bored"" is strictly prohibited from my vocabulary... i'm the type of girl who tries to make the best of every situation (even the frustrating ones).  i love everything from curling up on the couch to a movie... to staying out all night in vegas to camping/hiking in yosemite... to playing pool/darts in a dive-bar (nice bars are okay too)... to long drives with the top down... to relaxing days at an art museum, to nights out at concerts/plays/dancing... to sun shining down on me at the beach, on the deck at sam's in tiburon, anywhere near water.... and i absolutely love riding my bike....  i am very passionate about travel and am explorative enough to go by myself to other countries without reservations. i have a lot more ground to cover, but i've been to costa rica (4x), peru, chile, ecuador, jamaica, canada, mexico (shamefully been to cabo 7 times lol). i'd really love to go to brazil next, but it may be germany/france, since i have places to stay."
33,"""apparently,"" has become a new favorite word of mine, like ""perpendicular."" it's fun to say don't you think? do you have any favorite words?  perrrr piiinnn diiic uuulaarrr  as naturally for myself, i'm laid back, ummm... witty, and uber sarcastic. i cannot really describe myself without the fear of sounding... vain. always been a happy chick and i tend to have a good time everywhere i go and i also tend to dance out of nowhere. it's my thang, ya dig? what comes after happiness? humor? sure, humor. it's a little dark, a little vulgar, and it involves making fun of myself and my friends. have you ever played ""your team?"" i appreciate everything in life. my friends, my family, my co-workers, a blanket, nature, the city. psh! even those creepy crawlies! i also say thank you a lot because i enjoy making others feel appreciated and important. it totally boosts their esteem up! it makes me happy!  i swear too much by the way. hehe.  can't think of anything else. i was born and raised in norcal??  let's be friends or whatever."
34,"i grew up near sacramento, moved to sf for school, and stayed here once i got a job after graduating. so except for a bit of traveling, i've lived on northern california all my life. i hope to explore some of the other places on my long list of cities i'd like to live in, but in the meantime, i love it here in san francisco.  i enjoy artistic, creative things and like going to museums and concerts. a big passion of mine is storytelling; i love movies, books, and tv that have good story and characters. discussing all these things is almost as much fun as consuming them. i make my humble contribution to visual storytelling through the occasional bit of animation, short film, and photography.  i'm a big do-it-yourselfer and like working with my hands; i would rather fix it myself than call someone to fix it....this usually doesn't end in disaster.  i'm introverted and sometimes a little too shy, but underneath that i'm pretty bright and witty. an understanding and appreciation of sarcasm and a smart sense of humor are pluses."
35,new here. coming soon ;)
36,i lost a needle in a haystack once....and found it! that pretty much sums me up!
37,"let's go to a festival and dance all night... running and dancing with the stars. we will not rest until our naked bodies have melted away and the awesome beauty of life, death, and the universe becomes so clear. after which we will finish that bottle of jameson and hold each other close, laughing at our friends and welcoming the sunrise. a new day of adventure awaits.  i am looking for many things: friendships, drinking/hiking/sports buddies, love interests, adventure partners, business opportunities... you name it. i am a social animal and appreciate human interaction, so i am always interested in meeting new people regardless of ""who"" or ""what"" they are. in practice, and in mannerisms, i seem like quite the ""typical"" guy: i love to drink beer, play sports, i listen to reggae, dubstep and hip-hop, and enjoy a beach full of bikini-clad women as much as anyone. however, yes, i can also be a bisexual, swinging, polyamorous, and debaucherous individual. but that is just a part of me, and all that really means anyway is i'm open minded. i have always fully imagined marrying and having kids one day, but i'm open to whatever life may bring. while i am secretly and totally a hopeless romantic, i am not trying to rush in to things or grow up too fast. i strive in my daily life to be relaxed and down-to-earth, but still adventurous... i try not to take the day-to-day of life too seriously. :-)  a note on ""bisexuality"": for you hetero-normative folk: do not be afraid of the term ""bisexual"". it is just a term, and a very limiting one at that. i am just as heterosexual as a ""straight man"". i am just as homosexual as a ""gay"" man. and just because i may be bisexual and perhaps polyamorous, does not mean that i am unable to be in a happy, committed, and fulfilling relationship with a single partner. in fact, such an arrangement has been my norm."
38,"why, hello there.  i'm entertaining the thought that i could come across someone just as equally rad, bodacious and fun who blows my mind and our exchange develops into something too good for words. i'm a riot with a good heart.  oakland made me, the east bay raised me, lived in vegas, the silicon valley catapulted my career, and now i am planting seeds in sf near(ish) my home in walnut creek.  i've learned enough of my mother's native lingo to find my way back to the beach and enough exotic languages to fall in love. i'm visual, a soulful vocalist, a believer in exploring passions, positive action, and celebrating often. i know when to fold and when to raise. i set my own standard. i'm well-loved by my diverse family and friends. i have no enemies but time. entj. i love dancing and how sexy you look in a fedora and dark shades. i love me some super high heels just as much as my daisy dukes and rugged boots when i rough it with my dogs. i love to explore. so pack yer bags darlin, or keep one next to mine in the trunk.  i'm resilient and direct because i've been there, learned that, and i trust you have, too.  ""i, with a deeper instinct, choose a man who compels my strength, who does not doubt my courage or my toughness, who does not believe me naive or innocent, who has the courage to treat me like a woman.""  -anais nin"
39,"i love life!  oh. okcupid is telling me that three words isn't enough. ok then:  i just moved to the bay area in february, i don't know anyone here. this is your chance - you can pretend to be the coolest kid in town and i won't know any better but to believe you!  still not enough? fine... a more detailed description of me:  born to lead the armies of darkness to ruinous victory. gifted with a vast range of abilities for achieving that destiny. cursed by the forces of good to be crippled by ethics, honesty, and compassion. the usual story - good triumphs over evil, foiled again, blah blah blah.  i can read and write my name, and i have a job and a home and a car and my teeth and i can use an oscilloscope and i can shower myself!  you should also know that of all the people on a recently-published ""50 most loathsome people in the usa"" list, not a single one of them is me. your mom will be delighted to hear this. (though you may feel a little bit insulted by her poorly hidden relief.)"
40,"i am new to the san francisco bay area and looking for new friends and people who would like to introduce me to their favorite places.  -inglorion- is...  - yet another friendly guy stuck in front of a computer  - ... and liking it!  seriously, i am a computer programmer (both profesionally and as a hobby), so naturally i spend quite some time at my computer. but there are so many fun things in life that this page couldn't possibly contain them all. just to name a few, i like sailing, speaking foreign languages, cycling, taking walks, parties, and hugs.  i also spend some effort trying to make the world a better place, caring for the environment, conserving energy, thinking about politics and animal rights (including human rights), and, by writing open source software that anybody is invited to use, share, and improve. more about that on my website: http://inglorion.net/  i'm always looking forward to making new friends and having fun together. if you're up for that, too, don't hesitate to send me a message!  i am humorous, considerate, and sometimes passionate  (note: i've started over answering the match questions. this will take a while.)"
41,"-i grew up in new york and san diego half and half and root for the knicks, mets, and jets, and when they're not around cheat with the padres and chargers.  -i prefer happy hour to last call.  -i use sound effects in my story telling.  -i appreciate complexity and nuance.  -i feel actions speak louder than words. the order is be it, do it, say it.  -i remain optimistic in light of (take your pick).  -i think play-doh is one of the better scents out there.  -i try to laugh as much as possible, which is easy because my friends are smart and funny (to me at least).  -usually i try not to start successive sentences with i, so if you want to recommend some edits feel free.  -in college i majored in history, which is only useful for jeopardy and context (i've been consistently getting dumber since).  -aside from running and going to the gym, i pretend to play soccer a couple of times a week.  -sometimes when i punch in the url for this site the auto-fill takes me to okayplayer.com and i end up with free music instead.  -my life is fairly easy in that i love my career, which makes most everything else simple.  -can i just say that this site feels like one giant mexican standoff."
42,"i'm an optimist with a healthy sense of impending doom, an artist and traveler who's also jazzed about my soul sucking office job in squaresville (emeryville).  ...aaand i'm going to finish this later. being this clever takes a lot out of me, and also makes me hate myself. until then here's a joke:  a guy walks into a bar or something.  ...i'm going to finish that later too."
43,"i don't really like summarizing myself; but who does, right? seems like every time i try i come up with a pile of contradictions. i'm a shy extrovert i'm a grounded dreamer i'm a lazy adventurer i'm open-minded, but sometimes stubborn i'm a city person, i'm a mountain man i can be very competitive, but try to avoid competition i'm very social, i'm a bit misanthropic i'm generally very meticulous, i'm often sort of careless i have a strong sense of self, i'm a social chameleon i have complete confidence in myself to succeed at whatever i do, yet i'm often terrified of failure/letting others down. a lot of my best friends didn't like me when they first met me. but when they took the time to get to know they figured out that i'm actually a very caring, entertaining, giving, honest, loyal, patient, playful, open, and stimulating companion. of course others love me at first sight and never stop. so maybe you should just see for yourself.  i am clever, creative, and complicated"
44,"i am an east coast transplant looking for fun and genuine human interactions :) i've been single for quite awhile in order to rediscover myself, and now i find myself ready to discover someone else."
45,"born in the philippines, grew up in a small town, went to cal for college and made the bay area my home. i hella love it here. the food, culture and people here are amazing!  im new to this online dating thing, so here we go...  i yelp everywhere i go. i enjoy trying new food; supporting the local hole in the wall places to the michelin starred restaurants.  my favorite meal is breakfast because i love bacon! followed by brunch- which is a close second because of bottomless mimosas.  i like people watching. i love hearing different languages although i only speak two, english and tagalog. i'd say three but it takes me too long to put sentences together in spanish. i understand a good deal of it though.  i want to travel the world someday. i've only been to a few countries and i want to add pins on a map of places i've been to.  the music in the bay runs through my veins. bay area slaps, hyphy music, i'm just out here gigging tryna function. you don't need tell me when to go because i'm in the buildin'... in all seriousness though i enjoy the local music because like the song says- ""when you get the chance to sit it out or dance..."" i choose dance! message me if you want to go dancing some time.  this also means i'm addicted to guilty pleasures like: americas best dance crew, so you think you can dance, as well as many other tv shows.  anyways i'm rambling on. it's hard to summarize oneself. if you want to know more read on or just ask i suppose.  cheers!"
46,"1985- born, varberg, sweden 1986- knew how to say strawberry in swedish (kind of) 1987- my little sister was born 1988- first hiking vacation with my family 1989- kissed my first girl behind a sofa 1990- made my first good friend friend 1991- nervous first day at kindergarden 1992- starred as the big goat in ""three billy goats gruff"" 1993- success was to have the best hockeycards (which i hadn't) 1994- watched sweden come third in the world cup (soccer) 1995- got a mountainbike with 21 gears (i was so happy) 1996- recieved a very honest love letter ever from my neighbour. 1997- managed to make my first proper sause barnaise. 1998- spent the summer in a boat, fishing with friends 1999- girls interested me but i was a coward. 2000- ... through 7-9th grade 2001- moved out from my parents place. 2002- drank four becks, fell in love, got my heart broken. 2003- captain for the junior national volleyball team 2004- finished high school with confident! 2005- started study engineering - realized it was boring! 2006- made it to the national team... 2007- started design studies 2008- the second great love of my life... 2009- drank wine and learned to speak french in paris 2010- bachelor in design 2011- fell in love with london... getting used to sf  2012 candidates - bought an old motorcycle without knowing how to ride it - went skiing just to get confirmed how scared of heights i am - fell in love with sf - learned how to surf - got my first design on the market - froze to death in my room - fixed my motorcycle and made into a beautiful ride"
47,i'm an east coast transplant that's lived in sf for seven years. i try to live my life like do what you can get while you can' i'm sometime overly sarcastic to the point you might not know if i'm telling a truth or a lie (what i've been told sometimes). i'm always moving just like the city we live in to the point where sleep is not an option.
48,"i love it here, except when it's hotter than a camel's hump. at that point, i just have to jump in a pool and get wet. i love the coooooooool cool waters of the greenbelt. i spend a lot of time with my head in the clouds. sometimes....i think about ann hathaway receiving sex in her butt hole. (bess celeb joke ever)  i usually split my time between austin and portland, but i like to travel all around the dang place."
49,
50,i'm going to start right off breaking into song.  nina simone says it better than i can type: http://www.youtube.com/watch?v=cja69c6slrk
51,
52,"i'm a free culture nerd. i travel, talk, and teach."
53,"i'm fairly new to the bay area, still exploring and trying to find everything it has to offer. it has been quite an adventure so far. some activities i enjoy, hiking with my dog, camping, mountain biking, sailing, scuba, surfing, snowboarding, gaming, riding motorcycles, rving, concerts, festivals, trying new restaurants, walking around the city, or just relaxing watching a movie. i get along with and enjoy meeting all types of people. looking to meet new friends, and if i get lucky find love along the way."
54,"okay, i'm long overdue to give this an honest shot. i'd done the normal routine and have found decent long term relationships, but have yet to find the right one.  i'm not looking for games or ridiculous drama. i'm a pretty straight forward guy that values honesty and good communication. when i find the right person, i'm very devoted and sincere -- and i hope to find the same in a partner.  as for who i am, i enjoy anything from various physical activities to zoning out in front of a good movie, to exploring some previously unexplored land -- or just an unexplored road. i like cooking or baking when i have someone to share that with, and really i'm up for trying most new things.  i value intelligence and insightful conversation. i love when i meet someone who is passionate about a subject i know little about. i'm happy debating almost anything even if it means playing devil's advocate. critical thought and logic are a big part of how i've grown up and defined myself and my beliefs.  and then, of course, i also need to be able to let my guard down and have fun making bad jokes or indulging in some offhand sarcasm. to be able to let the little kid out who is fascinated poking around in tide pools and also amused by the jelly bean dispenser that ""poops"" the candy ... that's what keeps life fun and beautiful.  last think i have to say is, along with not caring for games, i have no need for conventions and am very open minded. feel free to contact me if i simply haven't managed to notice you yet, if you're so inclined. it's flattering and a big plus in my book when someone can admit what they're intrigued by.  hope to hear from you, -alex"
55,"nice, normal guy here with flaws and all but trying my best to live my life to the fullest and with integrity. i tend to be silly and can be a lot of fun but unfortunately, it takes a bit for that side of me to show up in new situations...like ohhh, lets say on a first date! tend to be very loyal, loving, and honest and expect the same from friends/family/bf in this regard, i've been let down a few times but not yet tainted.  i'm an engineer in the medical device industry, so basically i'm a big nerd.but an undetectable one, so no white socks and black dress shoes here!"
56,"originally from france, lived in 3 different countries, moved here 3 years ago and totally fell in love with the bay area. i am just looking to meet new people to hangout and explore the area with. i love to travel, in fact i just got back from central america where i spent a month. too short! i also love the outdoors and going on adventures; rock climbing, snowboarding, hiking, kayaking... you name it.  i also started to keep bees in backyard and it really is a fascinating hobby. and i get to have delicious local honey too :)"
57,"i grew up in iowa. it gets a bad rap, but let me be the first to tell youiowa is way cooler than you think. after iowa i went to school in pittsburgh. now i'm spending the summer in san francisco and living in soma.  i'm the did you know guy: i'm always researching and analyzing. if i know a friend is working on a project i'll send them relevant ideas and articles i come across. however, my intellectual prowess doesn't permeate to all aspects of my life. my friends make fun of me for being an absent-minded-professor type. give me hard problem and i'll excel, but moving out of my apartment? it might as well be rocket science. eek, there's always room for improvement!  i love the sound of plane tires touching down in a country i've never visited. japan is next on my list, though i'd visit germany or london again in a heartbeat.  there's a more intuitive side to my life, too. recently i've been enthusiastically exploring buddhism and meditation, paying attention to the spaces in between things. the more i learn the less i know. it's so refreshing to be awash in the mystery of the universe.  style is important to me. i'm all for expression through clothing but draw the line at pajamas as outerwear. i get it, they're comfortable, but ya know... just saying."
58,
59,"when it comes to my own life, i do as i please, but i am generous to friends and loved ones. i am loyal to a fault and a fun-loving guy on the surface but below lingers much, much more.  i am adventurous, optimistic, and open-minded."
60,"straight to the point! i sugar coat, but i mean well. sarcastic and a clown. good friend to talk to. i'm clumsy... yeah, fall all over myself. kid at heart. still dreamin those big dreams. bad with names. known to get a spot on a white shirt... it's inevitable! i like to iron my clothes; relaxing! that or running, gets the endorphins going.  not convinced of this matching online thing yet. still, anything's possible.  still reading this? maybe you're still interested or curious. ;)  hey, not looking for perfect because it doesn't exist. just the whole maybe we're different, maybe lots of imperfections, but maybe perfect for you know??"
